Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
Anima,12600000000000.0,"Hetz Ventures,INcapital Ventures,MizMaa Ventures,Y Combinator,Zohar Gilon",50.0,www.animaapp.com,"* Design to code, automated
- Powerful, interactive prototypes
- Seamless handoff
- Developer friendly code",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
Anthropic,1454000000.0,"Google, Menlo Ventures, Salesforce Ventures, Sound Ventures, Spark Capital",,https://www.anthropic.com/," Anthropic
 Anthropic aims to improve the interpretability and reliability of artificial intelligence systems, focusing on large-scale machine learning models.",Text,Text Generation,AI Development & Tools,,,,,2021.0,SF Bay Area,,,,,,,
Anyscale,259000000.0,"Andreessen Horowitz, Ant Group, Intel Capital, New Enterprise Associates, The House Fund",,https://www.anyscale.com/," Anyscale provides a platform for building and managing distributed applications, enabling developers to build scalable and reliable software with less effort.",MLOps/Platform,Platform / application scaling,Infrastructure,,,,,2019.0,SF Bay Area,,,,,,,
Anyword,30100000.0,"The New York Times, Innovation Endeavors, UpWest, Marker, Matias Ventures",198.0,https://anyword.com/,"* Copywriting AI with predictable results
- Get more conversions and drive more sales with an AI writer that generates and optimizes your copy. Powerful predictive analytics tells you what works before you publish.",Text,Marketing / Copywriting,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2013.0,"New York, NY",,,,,,,
Aporia,30000000.0,"Tiger Global Management, Samsung NEXT, Vertex Ventures, TLV Partners, Tal Ventures",,https://www.aporia.com/," Aporia
 Aporia provides an AI monitoring platform to understand, monitor, and control machine learning models, ensuring their reliability and performance.",MLOps/Platform,Model monitoring,AI Development & Tools,,,,,2019.0,Israel,,,,,,,
Aqemia,30520688.0,"Bpifrance, Eurazeo, Elaia",,aqemia.com," Aqemia
 Aqemia uses predictive AI technology to accelerate drug discovery by predicting the affinity between molecules and their targets.",Bio,molecule generation,Applications (Vertical),,,,,2019.0,Europe,,,,,,,
Aragon,,,,https://www.aragon.ai/," Aragon
 Aragon specializes in transforming voice data into valuable insights using AI-powered speech analytics and transcription services.",Image,Design,Applications (Vertical),,,,,2022.0,SF Bay Area,,,,,,,
Archistar,21960799.0,"AirTree Ventures, NAB Ventures, Skip Capital, Skyfield Capital",,http://archistar.ai," Archistar
 Archistar uses AI to provide property developers, architects and real estate agents with instant architectural design and property assessment.",MLOps/Platform,Land Acquisition,Applications (Vertical),,,,,2010.0,Australia,,,,,,,
ArtBreeder,,,,https://www.artbreeder.com/," ArtBreeder
 ArtBreeder is a platform that uses generative AI to blend images and create unique, new visuals, ideal for artists and designers.",Image,Art generation,Applications (Vertical),,,,,2019.0,"New York, NY",,,,,,,
Article Forge,,,,https://www.articleforge.com/," Article Forge
 An AI that automatically generates high-quality, unique content in minutes, simulating a human writer for blog posts, articles, or any other content needs.",Text,Content creation,Applications (Vertical),,,,,2015.0,Other US,,,,,,,
ASAPP,380000000.0,"Dragoneer Investment Group, Telstra Ventures, Bienville Capital, Emergence, HOF Capital",,https://www.asapp.com/," ASAPP
 ASAPP offers AI-driven customer service solutions to enhance productivity, accuracy and customer satisfaction.",Chatbot/Conversational AI,Contact Center,Applications (Horizontal),,,,,2014.0,"New York, NY",,,,,,,
AskAI,2600000000000.0,"Aviv Growth Partners,Barak Goldstein,Efi Cohen,Geffen Capital,GTMFund,GuideStar,Interplay (B2B),Ran Sarig,Simon Chan,State Of Mind Ventures,Vertex Ventures Israel,Web Summit,Yakir Daniel",14.0,www.ask-ai.com,"* The one sentence answer you need
- ASK aggregates text-heavy company knowledge & customer communications to reveal pinpointed answers and actionable insights.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
AskCodi,0.0,No Data,,www.askcodi.com,"* Write [CODE] Faster. Easier. Better.
- AskCodi is made keeping in mind the needs of developers to avoid redundant tasks, therefore resulting in less time spent on development and more time to execute.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AskEdith,500000.0,"Abstraction Capital, Boost VC",,https://www.askedith.ai/," AskEdith is an AI-powered assistant that helps with data analytics, enabling users to ask data-related questions in natural language and receive immediate answers.",Code,Data queries / SQL,Applications (Horizontal),,,,,2022.0,SF Bay Area,,,,,,,
Aspect,,,,https://aspect-hq.com/," Aspect
 Aspect uses AI to create and test website design variations, improving user experience and conversion rates.",Summarization,Interview analysis,Applications (Vertical),,,,,2021.0,Europe,,,,,,,
Assembly AI,63120000.0,"Y Combinator, Accel, Insight Partners, Daniel Gross, Nat Friedman",,https://www.assemblyai.com/,"Assembly AI offers an advanced speech-to-text API that accurately transcribes audio and video files, enabling developers to build voice applications with ease.",Audio,Speech to Text,AI Development & Tools,,,,,2017.0,SF Bay Area,,,,,,,
Astrid,5300000.0,,,https://www.astrideducation.com/," Astrid
 An AI-powered platform that personalizes education, helping students to learn more effectively and teachers to better understand their students' needs.",Chatbot/Conversational AI,Personalized English tutoring,Applications (Vertical),,,,,2020.0,Europe,,,,,,,
Atomic AI,42000000.0,"8VC, AME Cloud Ventures, Greylock, Playground Global, Nat Friedman",,https://atomic.ai/," Atomic AI optimizes digital content in real-time using artificial intelligence, enhancing engagement and improving overall communication efficiency.",Bio,AI-driven RNA drug discovery,Applications (Horizontal),,,,,2021.0,SF Bay Area,,,,,,,
Attention,3134991.0,"Eniac Ventures, Liquid 2 Ventures, MGV, Ride Ventures, Frst",,https://www.attention.tech/," Attention uses AI to analyze human attention in real-time, helping to improve engagement and productivity in digital learning and remote work environments.",Chatbot/Conversational AI,Voice assistant for sales,Applications (Horizontal),,,,,2021.0,"New York, NY",,,,,,,
AudioLabs,360000.0,,,https://www.audiolabs.io," AudioLabs
Short Description: AudioLabs provides AI-powered audio mastering and sound design services, enhancing audio quality for various industries.",Video,Podcast to shortform clips,Applications (Vertical),,,,,2021.0,Israel,,,,,,,
Aug X Labs,1000000.0,"Crosscut Ventures, Untapped Capital, Tribe AI, Ben Parr, Avner Ronen",,https://www.augxlabs.com/," Aug X Labs develops AI solutions for AR/VR, providing immersive experiences to transform industries like healthcare, real estate, and education.",Video,Multi-user video dev tool,Applications (Vertical),,,,,2022.0,"New York, NY",,,,,,,
Augmenta,0.0,"Ferguson Ventures,Hazelview Ventures,Whiteshell Group",26.0,www.augmenta.ai,"* Automated building design
- Design sustainable, code complaint, fully constructible buildings in hours",Vertical,,Applications (Vertical),General / Multi-Modal,Asset Generation,Construction & Architecture,Yes,,,,,,,,,
Augoor,0.0,No Data,,www.augoor.com,"* Smarten up your software development
- We make code more accessible by helping people comprehend and automatically document codebases from multiple repositories, fast and simple. Developers, managers, teams, and companies benefit from Augoor.",Documentation Writing,,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AutoBound,1900000000000.0,"Adrian Kunzle,AJ Forsythe,Brett DeBari,Chris Moreno,Douglas Murphy,Evan Wright,Founder Institute,Kane Lightowler,Luke Murphy,Nick Talarico,Pavel Asanov,Richard Socher,Robert Henderson,Sam Gutmann,Simon Chan,Tam Pham,USC Marshall School of Business",22.0,www.autobound.ai,"* Rise above the noise. By analyzing millions of data points on your target buyers, Autobound suggests personalized emails to send the right prospect, at the right time.",Sales Tools,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
AutoEnhance.ai,,,,https://www.autoenhance.ai/," AutoEnhance.ai uses AI to automatically enhance and optimize photos, improving their quality and resolution for better visual content.",Image,Photo enhancement,Applications (Vertical),,,,,2021.0,"London, UK",,,,,,,
Automata,200000000000.0,,5.0,www.byautomata.io,* We help marketers repurpose and reformat marketing content using AI,Content Repurposing,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
AutoRegex,0.0,No Data,,www.autoregex.xyz,"* Effortless conversions from English <> Regex
- Regex is difficult to write and comprehend to the average human. This website uses artificial intelligence to automate this task by translating back and forth between English and RegEx","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Avatar AI,,,,https://avatarai.me/," Avatar AI provides a platform for creating realistic and customizable digital humans for use in interactive applications, virtual reality, and digital marketing.",Avatars,Photorealistic AI avatars,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
Avaturn,40000.0,"Alchemist Accelerator, Chang Corporation, Wayne Chang, XTX Ventures, Jeff Seibert",,https://avaturn.me/," Avaturn
 Avaturn helps users create 3D avatars for their businesses, providing a new and interactive way to engage with customers.",Avatars,Personal 3D avatars,Applications (Vertical),,,,,2019.0,Israel,,,,,,,
Axiom AI,330000.0,"Techstars, Y Combinator, AltaIR Capital, 7percent Ventures, Silicon Roundabout Ventures",,https://axiom.ai/," Axiom AI specializes in creating high-quality synthetic voices for businesses, offering custom voice creation and text-to-speech solutions.",Code,Browser automation,Applications (Vertical),,,,,2018.0,Europe,,,,,,,
B/BLOQS,,,,https://www.bbloqs.ai," B/BLOQS
 B/BLOQS offers AI-powered modules for building complex applications, simplifying the development process and reducing time to market.",Text,AI marketing platform,AI Development & Tools,,,,,2021.0,Other US,,,,,,,
Balto,51850000.0,"Cultivation Capital, Sierra Ventures, Arch Grants, SaaS Ventures, Jump Capital",,https://www.balto.ai/," Balto
 Balto offers real-time guidance for call center representatives, improving communication efficiency and customer satisfaction.",Chatbot/Conversational AI,Automated Virtual Agents,Applications (Vertical),,,,,2017.0,Other US,,,,,,,
Banana,1820000.0,Alumni Ventures,,https://www.banana.dev/," Banana is an AI-powered tool that helps developers generate code snippets from plain English commands, improving efficiency and productivity.",MLOps/Platform,Model deployment,AI Development & Tools,,,,,2021.0,SF Bay Area,,,,,,,
Banana.dev,1800000000000.0,"Alumni Ventures,Basecamp Fund,CapitalX,Founders,inc,Pioneer.app",14.0,www.banana.dev,"* Ship ML to Prod, instantly. ⚡
- Scaleable inference hosting for your machine learning models on serverless GPUs.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Basch,,,,https://www.basch.io/," Basch
 Basch provides AI-driven solutions to automate and enhance the content creation process, including text generation, data extraction, and language translation.",Video,Text to Video,Applications (Horizontal),,,,,2021.0,APAC,,,,,,,
Beatoven.ai,1055000.0,"Entrepreneur First, Redstart Labs",,https://www.beatoven.ai/," Beatoven.ai
 Beatoven.ai is a music creation platform that uses AI algorithms to generate unique and personalized music tracks for users.",Audio,Background music generation,Applications (Vertical),,,,,2021.0,APAC,,,,,,,
Beautiful.ai,16000000.0,"Shasta Ventures, Trinity Ventures, First Round Capital",,https://www.beautiful.ai/,Beautiful.ai is a design tool that uses AI to automate the process of creating stunning visual presentations.,Image,Deck Design,Applications (Horizontal),,,,,2015.0,SF Bay Area,,,,,,,
Beewriter,,,,https://www.beewriter.com/," BeeWriter is a generative AI company that offers an AI writing assistant, helping users create high-quality content quickly and efficiently.",Text,Writing/Editing,Applications (Vertical),,,,,2020.0,"Seattle, WA",,,,,,,
Berserq,1000000.0,,,https://www.berserq.io," Berserq
 Berserq is an AI company that creates realistic, AI-generated 3D models and animations for use in various industries such as gaming, film, and advertising.",Image,Marketing image generation,Applications (Vertical),,,,,2021.0,APAC,,,,,,,
Bertha.ai,,,,https://bertha.ai/," Bertha.ai
 Bertha.ai provides AI-driven investment tools to help investors make data-driven decisions and optimize their portfolio.",Text,Marketing / Copywriting,Applications (Vertical),,,,,2021.0,Other US,,,,,,,
Betterdata,2420000.0,"Entrepreneur First, Tenity, Investible, Plug and Play, Franklin Templeton Investments",,https://www.betterdata.ai/," Betterdata
 Betterdata leverages AI to provide predictive analytics and data solutions, helping businesses make informed decisions and optimize their operations.",Data,Synthetic Data,Applications (Horizontal),,,,,2021.0,APAC,,,,,,,
BeyondWords,195645.0,"Innovate UK, Newark Venture Partners, Meyvn",,https://beyondwords.io/," BeyondWords
 BeyondWords offers advanced AI solutions to transform text data into meaningful insights, enhancing business decision-making processes.",Audio,Text to speech & speech to text,Applications (Horizontal),,,,,2016.0,"London, UK",,,,,,,
Blackbox,,,,https://www.useblackbox.io/," Blackbox
 Blackbox uses AI to automate video editing, making it easier and faster to create professional-quality videos.",Code,Code Completion / Search,Applications (Vertical),,,,,2019.0,SF Bay Area,,,,,,,
Blend,,,,https://www.blendnow.com/," Blend is a digital lending platform simplifying the loan process for mortgage and consumer lenders, increasing productivity and ensuring compliance.",Image,Photo to Ad,Applications (Vertical),,,,,2021.0,APAC,,,,,,,
BLOOM,7000000.0,publicly funded through grants,,https://bigscience.notion.site/BLOOM-BigScience-176B-Model-ad073ca07cdf479398d5f95d88e218c4," BLOOM
Short Description: BLOOM is a generative AI company focusing on developing a large language model for scientific research and discovery.",MLOps/Platform,Open-source text generation model,AI Development & Tools,,,,,2022.0,Europe,,,,,,,
Bloop,125000.0,"Y Combinator, Matilde Giglio",,https://bloop.ai/," Bloop
 Bloop is an AI platform that creates and animates 3D characters for digital content, enhancing storytelling through expressive and interactive virtual beings.",Code,Code generation & documentation,Applications (Vertical),,,,,2021.0,"London, UK",,,,,,,
Boltzbit,2087089.0,"Speedinvest, IQ Capital",,https://boltzbit.com/,"After reviewing the Boltzbit website, here's a short description: Boltzbit uses AI to generate music, providing unique and personalized soundtracks for users.",MLOps/Platform,Generative AI Platform,Applications (Vertical),,,,,2020.0,"London, UK",,,,,,,
Boomy,4451016.0,"Warner Music Group, Boost VC, Future Labs, Scrum Ventures, First Check Ventures",24.0,https://boomy.com/,"* Make instant music, share it with the world.
- Create original songs in seconds, even if you've never made music before. Get paid for every listen on platforms like Spotify, TikTok, YouTube, and 40+ others worldwide",Audio,Song generation,Applications (Horizontal),Audio,Music Generation,General,Yes,2018.0,SF Bay Area,,,,,,,
Botco.ai,2200000.0,"Alchemist Accelerator, VamosVentures, Stout Street Capital, Desert Angels, Arizona Tech Investors",,https://botco.ai," Botco.ai
 Botco.ai provides AI chatbot solutions for personalized, automated communication in healthcare, enhancing patient experience and engagement.",Chatbot/Conversational AI,Generate AI chatbots,Applications (Vertical),,,,,2017.0,Other US,,,,,,,
Botika,1500000.0,"Operator Partners, Homeward Ventures, Matias Ventures",,https://botika.io/," Botika
 Botika provides AI-powered chatbot solutions to help businesses automate customer service and improve customer engagement.",Image,Image Generation,Applications (Vertical),,,,,2020.0,Israel,,,,,,,
Brain.ai,51500000000000.0,InspireXT,27.0,www.brain.ai,"* We've had our smartphones for the last 14 years. On July 28, 2021, Brain is reimagining the way we interact with our phones.
- Introducing Natural - the first generative interface that allows software to be in sync with your intention. You no longer go to apps, apps come to you. Simply say what you need and the right app forms itself around your words.",Natural Language Frontends,,Applications (Horizontal),Code,Natural Language Frontend,General,Yes,,,,,,,,,
BrandMuscle,6500000.0,Alta Communications,,https://www.brandmuscle.com/," BrandMuscle provides local and channel marketing solutions, helping brands drive customer engagement and revenue through local marketing automation and integrated marketing tools.",Text,Marketing Automation and Compliance for Local businesses,Applications (Vertical),,,,,2000.0,Other US,,,,,,,
Bria,10000000.0,"Intel Ignite, Getty Images, Entrée Capital, IN Venture",,https://bria.ai/," Bria
 Bria uses AI to generate unique, personalized music and soundscapes, enhancing user experiences in games, apps, and other digital platforms.",Image,"Find, create, and edit visual content",Applications (Vertical),,,,,2020.0,Israel,,,,,,,
"Bria
",0.0,Entree Capital,43.0,https://bria.ai/,"* Supercharge Design Productivity
- Instantly create and customize limitless visuals at scale
through generative AI for businesses","AI Editing for Video, Photos, and Audio",,AI Development & Tools,Image,Image Generation,General,Yes,,,,,,,,,
Broadn,,,,https://www.broadn.io/," Broadn is a generative AI company that offers a platform for creating, managing and deploying AI models, simplifying the process of integrating AI into business operations.",Text,Generative learning,AI Development & Tools,,,,,2022.0,"London, UK",,,,,,,
Broca,100000.0,"Forum Ventures, Right Side Capital Management",,https://www.usebroca.com/," Broca
 Broca generates marketing copy using AI, helping companies create high-quality content effortlessly and quickly.",Text,Content creation,Applications (Vertical),,,,,2020.0,North America (excl. US),,,,,,,
BuildAI,,,,https://www.buildai.space/," BuildAI
 BuildAI provides AI solutions for construction site monitoring, improving productivity and reducing risk through real-time insights and predictions.",Text,Build AI interfaces,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
Cala,3000000.0,"Real Ventures, Maersk Growth, Ding Ventures",,https://ca.la/," Cala is an AI-powered platform that provides a complete solution for fashion designers to design, manufacture, and ship their creations.",Image,AI Design,Applications (Vertical),,,,,2016.0,"New York, NY",,,,,,,
Call Connect,,,,https://callconnect.ai/," Call Connect
 Call Connect offers an AI-based platform that enhances call center operations with smart routing, predictive analytics, and automated customer interactions.",Chatbot/Conversational AI,AI sales rep who makes and receives phone calls,Applications (Vertical),,,,,2023.0,Other US,,,,,,,
Canny AI,100000000000.0,Xcelerator,4.0,www.cannyai.com,"* Speak like a native
- Transform your videos to any language, with any dialogue",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Capacities,,,,https://capacities.io/," Capacities
 Capacities uses AI to provide data analytics, modeling, and simulation services for urban planning and development.",Classification,Note taking / data organization,Applications (Vertical),,,,,2022.0,Europe,,,,,,,
Casetext,64344579.0,"Y Combinator, 8VC, Union Square Ventures, Susa Ventures, SVA",67.0,http://casetext.com,* AI for Lawyers,Legal,Legal case generation,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,2013.0,SF Bay Area,,,,,,,
