Category,Name,URL,Org URL,$ Raised ,Top Investors,Founded,HQ Region,Focus
Avatars,Character.AI,https://character.ai,,"$150,000,000","Andreessen Horowitz, Elad Gil, SVA, A.Capital Ventures, Nat Friedman",2021,SF Bay Area,AI Characters/Avatars
Semantic Search,Pinecone,https://www.pinecone.io/,,"$138,000,000","Andreessen Horowitz, Tiger Global Management, Menlo Ventures, Wing Venture Capital, ICONIQ Growth",2019,"New York, NY",Vector database
Data,Snorkel,https://snorkel.ai/,,"$135,250,000","Accel, BlackRock, Google Ventures, Lightspeed Venture Partners, Walden International",2019,SF Bay Area,Data Lableing
MLOps/Platform,OctoML,https://octoml.ai/,,"$131,900,000","Tiger Global Management, Madrona, Amplify Partners, Addition",2019,"Seattle, WA",Model development
Text,Jasper.ai,https://www.jasper.ai/,,"$131,037,766","Bossanova Investimentos, Insight Partners, Bessemer Venture Partners, Coatue, IVP",2015,North America (excl. US),Content/Marketing
Chatbot/Conversational AI,Woebot Health,https://woebothealth.com/,,"$123,300,000","Gaingels, Bossanova Investimentos, Alumni Ventures, What If Ventures, Mirae Asset Capital",2017,SF Bay Area,Mental Health / chatbot
MLOps/Platform,AI21 Labs,https://www.ai21.com/,,"$118,500,000","Google for Startups, Pitango VC, Walden Catalyst, Ahren Innovation Capital, TPY Capital",2017,Israel,"NLP models, Wordtune write / summarization"
Image,Soul Machines,soulmachines.com,,"$115,656,972","SoftBank Vision Fund, Temasek Holdings, Horizons Ventures, Lakestar, Salesforce Ventures",2016,APAC,visual media generation
MLOps/Platform,InstaDeep,http://instadeep.com,,"$107,000,000","Google, BioNTech, G42, Bossanova Investimentos, AfricInvest",2015,"London, UK",industry-specific generative applications
Data,MDClone,https://www.mdclone.com/,,"$104,000,000","Warburg Pincus, OrbiMed, Lightspeed Venture Partners, Viola Growth, aMoon Fund",2016,Israel,Healthcare / science synthetic data
Text,Eluether GPT-NEO,https://www.eleuther.ai/,,"$100,000,000",,2019,Unknown,Text Generation
Audio,Descript,https://www.descript.com/,,"$100,000,000","OpenAI, Andreessen Horowitz, Naval Ravikant, Daniel Gross, Redpoint",2017,SF Bay Area,Voice generation
Image,Stability,https://stability.ai/,,"$98,797,885","Lightspeed Venture Partners, Coatue, Kadmos Capital, Fourth Revolution Capital, O'Shaughnessy Asset Management",2019,"London, UK",Open AI Tools / Image Generation
Chatbot/Conversational AI,Forethought,https://forethought.ai/,,"$92,000,000","8VC, Village Global, Collaborative Fund, New Enterprise Associates, South Park Commons",2017,SF Bay Area,Customer Support
Chatbot/Conversational AI,Ushur,https://ushur.com/,,"$92,000,000","8VC, Plug and Play, Iron Pillar, Third Point Ventures, Pentland Ventures",2014,SF Bay Area,Automated Virtual Agents
Audio,Deepgram,https://deepgram.com/,,"$85,920,000","NVIDIA, Bossanova Investimentos, Y Combinator, Tiger Global Management, BlackRock",2015,SF Bay Area,Speech to Text
Chatbot/Conversational AI,Kasisto,https://kasisto.com/,,"$81,450,000","FIS, NCR, Mastercard, Oak HC/FT, Commerce Ventures",2013,"New York, NY",Customer support
Summarization,Tome,https://tome.app/,,"$75,300,000","500 Global, 8VC, Wing Venture Capital, Lightspeed Venture Partners, Coatue",2020,SF Bay Area,Content summarization
Data,DataGen Technologies,https://datagen.tech/,,"$72,000,000","Viola Ventures, Operator Partners, TLV Partners, Spider Capital, Scale Venture Partners",2018,Israel,Synthetic data generation
Text,Mutiny,http://www.mutinyhq.com/,,"$71,620,000","Sequoia Capital, Y Combinator, Tiger Global Management, Insight Partners, Hack VC",2018,SF Bay Area,Marketing / Personalized websites
MLOps/Platform,Comet ML,https://www.comet.com/site/,,"$69,800,000","Techstars, Techstars Ventures, Founders' Co-op, Two Sigma Ventures, Fathom Capital",2017,"New York, NY",Model deployment / modeling / collaboration
Avatars,Inworld,https://www.inworld.ai/,,"$69,700,000","Meta, Intel Capital, Founders Fund, BITKRAFT Ventures, HTC",2021,SF Bay Area,NPC's for games
MLOps/Platform,Creative Fabrica,https://www.creativefabrica.com/spark/,,"$68,550,957","FJ Labs, Alven, Triple Point Ventures, LionTree, Felix Capital",2016,Europe,Art and writing generation
Semantic Search,SeMI Technologies,https://www.semi.technology/,https://weaviate.io/,"$67,700,000","Index Ventures, New Enterprise Associates, Battery Ventures, Zetta Venture Partners, GTMfund",2019,Europe,AI Infrastructure
Data,Gretel,https://gretel.ai/,,"$67,699,996","Village Capital, Village Global, Greylock, Section 32, Anthos Capital",2019,"San Diego, CA",Synthetic data generation
Avatars,Synthesia,https://www.synthesia.io/,,"$66,600,000","Google Ventures, s16vc, MMC Ventures, FirstMark, LDV Capital",2017,"London, UK",AI avatar video creation
Chatbot/Conversational AI,PolyAI,https://poly.ai/,,"$66,000,000","Entrepreneur First, Twilio, Khosla Ventures, Amadeus Capital Partners, Sands Capital Ventures",2017,"London, UK",Voice Assistants
Text,Persado,https://www.persado.com/,,"$66,000,000","Goldman Sachs, American Express, American Express Ventures, Bain Capital Ventures, Citi Ventures",2012,"New York, NY",Language generation
Text,Typeface,https://www.typeface.ai/,,"$65,000,000","Menlo Ventures, Google Ventures, Lightspeed Venture Partners, M12 - Microsoft's Venture Fund",2022,SF Bay Area,Marketing copies that include text and images
Legal,Casetext,http://casetext.com,,"$64,344,579","Y Combinator, 8VC, Union Square Ventures, Susa Ventures, SVA",2013,SF Bay Area,Legal case generation
Audio,Assembly AI,https://www.assemblyai.com/,,"$63,120,000","Y Combinator, Accel, Insight Partners, Daniel Gross, Nat Friedman",2017,SF Bay Area,Speech to Text
Summarization,Otter,https://otter.ai/,,"$63,000,000","500 Global, Draper Associates, Bridgewater Associates, Horizons Ventures, GGV Capital",2016,SF Bay Area,Meeting note summarization
Video,Magnifi,https://magnifi.ai/,https://vverse.ai/,"$60,880,000","Inflection Point Ventures, Venture Catalysts, Google for Startups, 9Unicorns Accelerator Fund, SOSV",2017,APAC,Video editing / insights
MLOps/Platform,Lightning.ai,https://lightning.ai/,,"$58,600,000","MANTIS Venture Capital, Index Ventures, Coatue, SVA, Bain Capital Ventures",2019,"New York, NY",Model development
Text,Walnut,https://www.walnut.io//,,"$56,000,000","NFX, SVA, Immad Akhund, A.Capital Ventures, Graph Ventures, Felicis",2020,"New York, NY",Sales product demos
Data,Triple Whale,https://www.triplewhale.com/,,"$52,700,000","NFX, Shopify, NFX, Shaan Puri, Elephant, Tectonic Capital",2021,Israel,"E-commerce, marketing"
Video,InVideo,https://invideo.io/,,"$52,500,000","Tiger Global Management, Lightspeed Venture Partners, RTP Global, Blume Ventures, Omidyar Network",2017,APAC,"Text to Video, Video creation/editing"
Avatars,DeepBrain AI,https://www.deepbrain.io/,,"$52,000,000","KB Investment, Korea Development Bank, IMM Investment, KDB Capital, L&S Venture Capital",2016,SF Bay Area,Virtual Humans and Avatars
Chatbot/Conversational AI,Balto,https://www.balto.ai/,,"$51,850,000","Cultivation Capital, Sierra Ventures, Arch Grants, SaaS Ventures, Jump Capital",2017,Other US,Automated Virtual Agents
Chatbot/Conversational AI,Infinitus,https://infinitus.ai/,,"$51,400,000","Google Ventures, Coatue, Gradient Ventures, Firebolt Ventures, Quiet Capital",2019,SF Bay Area,Healthcare Conversational AI
Avatars,D-ID,https://www.d-id.com/,,"$47,881,868","OurCrowd, Y Combinator, Hyundai Motor Company, Pitango VC, Macquarie Capital",2017,Israel,Customized videos featuring talking avatars
Video,Riverside,https://riverside.fm/,,"$47,000,000","Elad Gil, Zeev Ventures, Seven Seven Six, Oren Zeev, Casey Neistat",2019,Israel,Podcast recording / editing
MLOps/Platform,Fiddler AI,https://www.fiddler.ai/,,"$45,200,000","Bossanova Investimentos, Insight Partners, Lightspeed Venture Partners, Lockheed Martin Ventures, Haystack",2018,SF Bay Area,"AI Observability, Explainability for MLOps and Generative AI"
Text,You,https://you.com/,,"$45,000,000","Norwest Venture Partners, Radical Ventures, Breyer Capital, SVA, Sound Ventures",2020,SF Bay Area,AI Writer / Knowledge Search
Data,Tonic,https://www.tonic.ai/,,"$45,000,000","Insight Partners, GGV Capital, Bloomberg Beta, Xfund, Heavybit",2018,SF Bay Area,Synthetic Data
MLOps/Platform,Robust Intelligence,https://www.robustintelligence.com/,,"$44,000,000","Sequoia Capital, Tiger Global Management, Harpoon, Engineering Capital, Ram Shriram",2019,SF Bay Area,Model dev
Data,Parallel Domain,http://paralleldomain.com,,"$43,940,000","Toyota Ventures, Foundry Group, RRE Ventures, Calibrate Ventures, Costanoa Ventures",2017,SF Bay Area,Synthetic data
Sentiment Analysis,Textio,https://textio.com/,,"$42,499,972","Emergence, Industry Ventures, Bloomberg Beta, Upside Partnership, Scale Venture Partners",2014,"Seattle, WA",Writing (bias / sentiment)
Bio,Atomic AI,https://atomic.ai/,,"$42,000,000","8VC, AME Cloud Ventures, Greylock, Playground Global, Nat Friedman",2021,SF Bay Area,AI-driven RNA drug discovery
Chatbot/Conversational AI,Mavenoid,https://www.mavenoid.com/en/,,"$39,900,000","Creandum, Jeremy Yap, Mosaic Ventures, ABB Technology Ventures, Andreas Ehn",2017,Europe,Contact Center (Hardware)
Text,Unbounce,https://unbounce.com/,,"$39,147,612","500 Global, Espresso Capital, Accomplice, Real Ventures, Founders' Co-op",2009,North America (excl. US),AI Writer / Landing Pages
Audio,Speak,https://www.speak.com/,,"$38,000,000","Y Combinator, Founders Fund, Lachy Groom, Khosla Ventures, OpenAI Startup Fund",2016,SF Bay Area,Learn to speak English
MLOps/Platform,MosaicML,https://www.mosaicml.com/,,"$37,000,000",,2021,SF Bay Area,Model development
Text,Maker AI,https://maker.ai/,,"$36,360,000","Bossanova Investimentos, Rocket Internet, Y Combinator, HubSpot, Garage Capital",2018,North America (excl. US),Free AI on-demand content writing
Video,VEED,https://www.veed.io/,,"$35,000,000","Sequoia Capital, s16vc",2018,"London, UK",Video creation/editing
Image,Imagen,https://imagen-ai.com/,,"$34,000,000","NFX, Summit Partners, NFX",2020,Israel,Photo editing / profile picture generation
MLOps/Platform,Matroid,https://www.matroid.com/,,"$33,500,000","Intel Capital, New Enterprise Associates, Energize Ventures",2016,SF Bay Area,Computer vision
Audio,Papercup,https://www.papercup.com/,,"$33,234,603","Entrepreneur First, LocalGlobe, Octopus Ventures, BDMI, Sands Capital Ventures",2017,"London, UK",Video dubbing / localization
Chatbot/Conversational AI,iGenius,https://www.igenius.ai/,,"$32,830,752","BlackSheep Ventures, NovaCapital",2016,Europe,Data analysis / science automation
Code,Tabnine,https://www.tabnine.com/,,"$32,050,000","OurCrowd, Samsung NEXT, Qualcomm Ventures, Khosla Ventures, Headline",2013,Israel,Code Completion
Chatbot/Conversational AI,EliseAI,https://www.eliseai.com/,,"$31,928,985","Navitas Capital, AvalonBay, Golden Seeds, Ground Up Ventures, DivcoWest",2017,"New York, NY",Automated Virtual Agents
Data,MostlyAI,https://mostly.ai/,,"$31,145,550","Earlybird Venture Capital, Molten Ventures, 42CAP, Citi Ventures, PUSH Ventures",2017,Europe,Synthetic Data generation
Semantic Search,Hebbia,hebbia.ai,,"$31,100,000","Index Ventures, Peter Thiel, Radical Ventures, Naval Ravikant, Abstract Ventures",2020,"New York, NY",Personal AI Analyst
Bio,Aqemia,aqemia.com,,"$30,520,688","Bpifrance, Eurazeo, Elaia",2019,Europe,molecule generation
Data,Datachat,https://datachat.ai/,,"$30,140,903","National Science Foundation, Anthos Capital, Celesta Capital, Redline Capital, gbeta",2017,Other US,"Chat with your data, naturally"
Text,Anyword,https://anyword.com/,,"$30,100,000","The New York Times, Innovation Endeavors, UpWest, Marker, Matias Ventures",2013,"New York, NY",Marketing / Copywriting
MLOps/Platform,Aporia,https://www.aporia.com/,,"$30,000,000","Tiger Global Management, Samsung NEXT, Vertex Ventures, TLV Partners, Tal Ventures",2019,Israel,Model monitoring
Code,Codacy,https://www.codacy.com/,,"$29,400,000","EQT Ventures, Bright Pixel (former Sonae IM), Faber, Isomer Capital, Seedcamp",2012,Europe,Code Quality
Audio,Corti,corti.ai,,"$29,378,315","Vaekstfonden, EASME - EU Executive Agency for SMEs, byFounders, Jeremy Yap, Heartcore Capital",2016,Europe,Healthcare Speech to text / data organization
Classification,Mem,https://get.mem.ai/,,"$29,100,000","Andreessen Horowitz, Material V, OpenAI Startup Fund, Unusual Ventures, Shrug Capital",2021,SF Bay Area,Self-organizing workspace
MLOps/Platform,Gantry,https://gantry.io/,,"$28,300,000",Dwight Crow,2021,SF Bay Area,Model development
Semantic Search,Air Inc,https://air.inc/,,"$28,220,000","Tiger Global, Lerer Hippeau, WndrCo, Slack Ventures, Red Sea Ventures, and Advancit Capital",2022,SF Bay Area,Marketing / search
Summarization,Abridge,https://www.abridge.com/,,"$27,500,000","Bessemer Venture Partners, Union Square Ventures, Pillar VC, UPMC, IKS Health",2018,Other US,Healthcare conversation documentation
MLOps/Platform,AI Foundation,https://aifoundation.com/,,"$27,500,000","Founders Fund, Correlation Ventures, Alpha Edison, Mousse Partners, Cyan Banister",2017,SF Bay Area,AI humans
Chatbot/Conversational AI,Ultimate,https://www.ultimate.ai/,,"$27,400,545","Techstars, European Innovation Council, HV Capital, OMERS Ventures, Maki.vc",2017,Europe,Automated Virtual Agents
Text,Writer,https://writer.com/,,"$26,000,000","Insight Partners, GTMfund, Upfront Ventures, Gradient Ventures, Scott Belsky",2020,SF Bay Area,Writing/Editing
Legal,Harvey,https://harvey.ai/,,"$26,000,000","Sequoia Capital, Elad Gil, SVA, OpenAI Startup Fund, Conviction VC",2022,SF Bay Area,Legal text generation
MLOps/Platform,Chooch AI,https://www.chooch.com/,,"$25,900,000","Alumni Ventures, AngelList Talent, Sand Hill Angels, Sean Bill, 212",2015,SF Bay Area,Computer vision platform
MLOps/Platform,Iterative.ai,https://iterative.ai/,,"$25,400,000","True Ventures, 468 Capital, Afore Capital, Ihar Mahaniok",2018,SF Bay Area,Model development
Video,Hour One,https://hourone.ai/,,"$25,000,000","Insight Partners, Intel Ignite, Remagine Ventures, Digital Horizon, Galaxy Interactive",2019,Israel,Text to Video
MLOps/Platform,Outerbounds,https://outerbounds.com/,,"$24,250,000","Costanoa Ventures, Foundation Capital, Greenoaks, Amplify Partners",2021,SF Bay Area,Model dev
Legal,Darrow,https://www.darrow.ai/,,"$24,000,000","NFX, Y Combinator, NFX, Entrée Capital, F2 Capital, Matias Ventures",2020,Israel,Legal case generation
MLOps/Platform,Symbl.ai,symbl.ai,,"$23,620,000","Techstars, Bossanova Investimentos, GreatPoint Ventures, Jump Capital, Crosscut Ventures",2018,"Seattle, WA",Conversational AI Platform
Audio,Splash,https://www.splashmusic.com/,,"$23,220,227","Techstars, BITKRAFT Ventures, Khosla Ventures, Techstars Ventures, King River Capital",2017,Australia,Song generation
MLOps/Platform,Galileo,https://www.rungalileo.io/,,"$23,100,000","Battery Ventures, FPV Ventures, Walden Catalyst, Lip-Bu Tan, Anthony Goldbloom",2021,SF Bay Area,Model development
Audio,Voicemod,https://www.voicemod.net/,,"$23,047,522","BITKRAFT Ventures, Demium, Wayra, K Fund, ABACON CAPITAL",2014,Europe,Voice Changing
Code,Warp,https://www.warp.dev/,,"$23,000,000","Google Ventures, Mischief, Elad Gil, Dylan Field, Contrary",2020,"New York, NY",code generation (terminal)
Image,TestFit,https://testfit.io/,,"$22,000,000",Parkway Venture Capital,2016,Other US,Real estate design
MLOps/Platform,Archistar,http://archistar.ai,,"$21,960,799","AirTree Ventures, NAB Ventures, Skip Capital, Skyfield Capital",2010,Australia,Land Acquisition
MLOps/Platform,Synthesis AI,synthesis.ai,,"$21,500,000","Bossanova Investimentos, 468 Capital, Bee Partners, LETA Capital, Sorenson Ventures",2019,SF Bay Area,Synthetic data and image generation
Audio,Endel,https://endel.io/,,"$21,221,791","Techstars, True Ventures, Kima Ventures, Techstars Ventures, Waverley Capital",2018,Europe,Personalized soundscapes
Text,regie.ai,https://www.regie.ai/,,"$20,800,000","South Park Commons, Khosla Ventures, Day One Ventures, Foundation Capital, Scale Venture Partners",2020,SF Bay Area,Content/Marketing
Audio,Eleven Labs,https://www.elevenlabs.io/,,"$20,500,000","Daniel Gross, Nat Friedman, Concept Ventures, Credo Ventures",2022,"New York, NY",Long format speech generation
MLOps/Platform,Salad,https://www.salad.com/,,"$20,200,000","Kickstart, Left Lane Capital, Origin Ventures, Carthona Capital, Royal Street Ventures",2018,Other US,GPU Cloud for Generative AI applications
Audio,AiMi,https://www.aimi.fm/,,"$20,000,000","Founders Fund, Ethos VC, Great Mountain Partners",2019,Other US,Music generation
Semantic Search,Vectara,https://vectara.com/,,"$20,000,000","Charles Zedlewski, Page One Ventures",2020,SF Bay Area,Video/Image Search
Video,Deepdub,https://deepdub.ai/,,"$20,000,000","Insight Partners, Swift Ventures, Danny Grander, Matias Ventures, Stardom Ventures",2019,Israel,Content localization / dubbing
Image,PhotoRoom,https://www.photoroom.com/,,"$19,125,000","Meta, Hugging Face, Y Combinator, FJ Labs, Balderton Capital",2019,Europe,photo generator / Background removal
Text,Pepper Content,https://www.peppercontent.io/,,"$18,658,353","YourStory, Balaji Srinivasan, Bessemer Venture Partners, Titan Capital, GTMfund",2017,APAC,Content/marketing generation
Image,Uizard,https://uizard.io/,,"$18,600,000","Insight Partners, 7percent Ventures, byFounders, LDV Capital, AV8 Ventures",2018,Europe,Product Design
Image,Swapp,https://www.swapp.ai/,,"$18,500,000","Eurazeo, Waveline Ventures, Activum, Entrée Capital, Point72 Ventures",2019,"London, UK",AI-Powered Construction Documents
MLOps/Platform,Raft,https://www.raft.ai/,,"$17,870,000","Techstars, Bessemer Venture Partners, Dynamo, Episode 1",2017,"London, UK",Image Similarity
MLOps/Platform,Replicate,https://replicate.com/,,"$17,800,000","Andreessen Horowitz, Sequoia Capital, Y Combinator, Lachy Groom, Guillermo Rauch",2019,SF Bay Area,ML model deployment
Audio,Krisp,https://krisp.ai/,,"$17,500,000","Sierra Ventures, RTP Global, s16vc, Berkeley SkyDeck Fund, TechNexus Venture Collaborative",2017,SF Bay Area,Audio quality / sound extraction
Semantic Search,Twelve Labs,https://twelvelabs.io/,,"$17,120,000","Techstars, Index Ventures, Radical Ventures, WndrCo, Dug Song",2021,SF Bay Area,Video/Image Search
Video,"Vu Technologies, Inc.",https://www.vu.ai/,,"$17,000,000","ADX Labs, Topmark Partners, Jacques Fu, Lane Five Ventures",2021,"Miami, FL",Virtual visual production workflows
Legal,Robin AI,https://www.robinai.co.uk/,,"$16,870,950","SoftBank, Google for Startups, Creative Destruction Lab (CDL), Plural Platform, Forward Partners",2019,"London, UK",Contract simplification
Image,Beautiful.ai,https://www.beautiful.ai/,,"$16,000,000","Shasta Ventures, Trinity Ventures, First Round Capital",2015,SF Bay Area,Deck Design
Audio,LifeScore,https://www.lifescoremusic.com/,,"$15,696,768","Warner Music Group, Octopus Ventures, Metaplanet Holdings, IDEO, 4-Good Ventures",2016,"London, UK",Song generation
MLOps/Platform,Deepset,https://www.deepset.ai/,,"$15,600,000","Google Ventures, Acequia Capital (AceCap), Charlie Songhurst, Lunar Ventures, Mustafa Suleyman",2018,Europe,NLP
Image,Facet,http://facet.ai,,"$15,500,000","Edward Lando, Gaingels, Bossanova Investimentos, Accel, South Park Commons",2017,SF Bay Area,AI-powered image editor
Data,Hazy,https://hazy.com/,,"$14,778,644","Wells Fargo, Ascension, Nationwide Building Society, M12 - Microsoft's Venture Fund, Amadeus Capital Partners",2017,"London, UK",Finance synthetic data
Text,Madgicx,https://madgicx.com/,,"$14,530,000",,2018,Israel,Ad Performance
Text,Copy.ai,https://www.copy.ai/,,"$13,900,000","Sequoia Capital, Tiger Global Management, Wing Venture Capital, Elad Gil, Craft Ventures",2020,Other US,Content creation
Text,Lavender,https://www.lavender.ai/,,"$13,200,000","Norwest Venture Partners, Arash Ferdowsi, CapitalX, Signia Venture Partners, Position Ventures",2020,"New York, NY",Sales email generation
Video,Yepic,https://www.yepic.ai/,,"$13,170,000",,2019,"London, UK",AI powered dubbing
Summarization,NeoTax,https://www.neo.tax/,,"$13,000,000","Fin Capital, Google Ventures, Uncork Capital, SVA, Liquid 2 Ventures",2019,SF Bay Area,"Machine learning and generative AI based tax optimization, calculation and preparation for mid-size enterprises"
Legal,EvenUp,https://www.evenuplaw.com/,,"$12,900,000","NFX, Bessemer Venture Partners, DCM Ventures, Dash Fund, NFX",2019,SF Bay Area,Legal case generation
Chatbot/Conversational AI,Lang.ai,https://www.lang.ai/,,"$12,500,000","500 Global, Alumni Ventures, Village Global, Forum Ventures, Lorimer Ventures",2018,Europe,Contact center / ticket prioritization
Code,Durable,https://durable.co/,,"$12,500,000","Soma Capital, Lorimer Ventures, South Park Commons, Altman Capital, Torch Capital",2021,SF Bay Area,Web App Builder
Legal,Spellbook,https://spellbook.legal/,,"$12,415,000","Creative Destruction Lab (CDL), BDC Venture Capital, Inovia Capital, Bling Capital, Concrete Ventures",2018,North America (excl. US),AI Copilot for Contracting
Video,Rephrase,https://www.rephrase.ai/,,"$12,200,000","Techstars, Silver Lake, Red Ventures, 8VC, Lightspeed India Partners",2019,SF Bay Area,Personalized videos
Chatbot/Conversational AI,Jio Haptik,https://www.haptik.ai/,,"$12,200,000","Kalaari Capital, Times Internet, Vivek Kumar",2013,APAC,Automated Virtual Agents
Legal,ZERO,https://zerosystems.com/,,"$12,120,000","NFX, s16vc, One Way Ventures, AltaIR Capital, 468 Capital, NFX",2014,SF Bay Area,Automated admin tasks
Text,Ginger,https://www.gingersoftware.com/,,"$11,700,000","Horizons Ventures, Harbor Pacific Capital, Jerusalem Global Ventures",2007,Other US,Writing/Editing
Audio,Murf,https://murf.ai/,,"$11,500,000","Elevation Capital, Vidit Aatrey, Matrix Partners India, Ankit Bhati, Ashish Goel",2020,Other US,Text to Speech
Video,Kinetix,https://kinetix.tech/,,"$11,000,000","Animoca Brands, Entrepreneur First, NAVER Z, The Sandbox, Sparkle Ventures",2020,Europe,3D content generation from video
