Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
AMAI,0.0,"Crosesell,Joint Journey Intelligent Investments,NRG Ventures,Sergey Dashkov",8.0,www.amai.io,"* AI Voices That Sound Like Humans but Scale Like Software
- Use realistic speech synthesis and save 30% or even more on any voice content production",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Amazing Photos,,,,https://amazing.photos/,,Image,Image Generation,,,,,,2023,Unknown,,,,,,,
Amazon CodeWhisperer,8108000000.0,"DBS Bank, AOL, Mizuho Bank, Kleiner Perkins",,https://aws.amazon.com/codewhisperer/,,Code,Code Completion / Documentation,,,,,,1994,"Seattle, WA",,,,,,,
Amberscript,9995401.0,"Endeit Capital, VentureBuilders Capital",,https://www.amberscript.com/en/,,Audio,Transcription and subtitles,,,,,,2017,Europe,,,,,,,
Amper,9000000.0,Insight Partners,,https://www.ampermusic.com/,,Audio,Song generation,,,,,,2003,"New York, NY",,,,,,,
Andi,2500000.0,"Gaingels, Y Combinator, Goodwater Capital, BBQ Capital, Acacia Venture Capital Partners",8.0,https://andisearch.com/,"* Hello! I'm Andi, your smart search assistant. The more detailed your question, the better I can help ",Semantic Search,Smart Search Assistant,Applications (Horizontal),Text,Search,General,Yes,2021,"New York, NY",,,,,,,
Anima,12600000000000.0,"Hetz Ventures,INcapital Ventures,MizMaa Ventures,Y Combinator,Zohar Gilon",50.0,www.animaapp.com,"* Design to code, automated
- Powerful, interactive prototypes
- Seamless handoff
- Developer friendly code",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
Anthropic,1454000000.0,"Google, Menlo Ventures, Salesforce Ventures, Sound Ventures, Spark Capital",,https://www.anthropic.com/,,Text,Text Generation,,,,,,2021,SF Bay Area,,,,,,,
Anyscale,259000000.0,"Andreessen Horowitz, Ant Group, Intel Capital, New Enterprise Associates, The House Fund",,https://www.anyscale.com/,,MLOps/Platform,Platform / application scaling,,,,,,2019,SF Bay Area,,,,,,,
Anyword,30100000.0,"The New York Times, Innovation Endeavors, UpWest, Marker, Matias Ventures",198.0,https://anyword.com/,"* Copywriting AI with predictable results
- Get more conversions and drive more sales with an AI writer that generates and optimizes your copy. Powerful predictive analytics tells you what works before you publish.",Text,Marketing / Copywriting,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2013,"New York, NY",,,,,,,
Aporia,30000000.0,"Tiger Global Management, Samsung NEXT, Vertex Ventures, TLV Partners, Tal Ventures",,https://www.aporia.com/,,MLOps/Platform,Model monitoring,,,,,,2019,Israel,,,,,,,
Aqemia,30520688.0,"Bpifrance, Eurazeo, Elaia",,aqemia.com,,Bio,molecule generation,,,,,,2019,Europe,,,,,,,
Aragon,,,,https://www.aragon.ai/,,Image,Design,,,,,,2022,SF Bay Area,,,,,,,
Archistar,21960799.0,"AirTree Ventures, NAB Ventures, Skip Capital, Skyfield Capital",,http://archistar.ai,,MLOps/Platform,Land Acquisition,,,,,,2010,Australia,,,,,,,
ArtBreeder,,,,https://www.artbreeder.com/,,Image,Art generation,,,,,,2019,"New York, NY",,,,,,,
Article Forge,,,,https://www.articleforge.com/,,Text,Content creation,,,,,,2015,Other US,,,,,,,
ASAPP,380000000.0,"Dragoneer Investment Group, Telstra Ventures, Bienville Capital, Emergence, HOF Capital",,https://www.asapp.com/,,Chatbot/Conversational AI,Contact Center,,,,,,2014,"New York, NY",,,,,,,
AskAI,2600000000000.0,"Aviv Growth Partners,Barak Goldstein,Efi Cohen,Geffen Capital,GTMFund,GuideStar,Interplay (B2B),Ran Sarig,Simon Chan,State Of Mind Ventures,Vertex Ventures Israel,Web Summit,Yakir Daniel",14.0,www.ask-ai.com,"* The one sentence answer you need
- ASK aggregates text-heavy company knowledge & customer communications to reveal pinpointed answers and actionable insights.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
AskCodi,0.0,No Data,,www.askcodi.com,"* Write [CODE] Faster. Easier. Better.
- AskCodi is made keeping in mind the needs of developers to avoid redundant tasks, therefore resulting in less time spent on development and more time to execute.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AskEdith,500000.0,"Abstraction Capital, Boost VC",,https://www.askedith.ai/,,Code,Data queries / SQL,,,,,,2022,SF Bay Area,,,,,,,
Aspect,,,,https://aspect-hq.com/,,Summarization,Interview analysis,,,,,,2021,Europe,,,,,,,
Assembly AI,63120000.0,"Y Combinator, Accel, Insight Partners, Daniel Gross, Nat Friedman",,https://www.assemblyai.com/,,Audio,Speech to Text,,,,,,2017,SF Bay Area,,,,,,,
Astrid,5300000.0,,,https://www.astrideducation.com/,,Chatbot/Conversational AI,Personalized English tutoring,,,,,,2020,Europe,,,,,,,
Atomic AI,42000000.0,"8VC, AME Cloud Ventures, Greylock, Playground Global, Nat Friedman",,https://atomic.ai/,,Bio,AI-driven RNA drug discovery,,,,,,2021,SF Bay Area,,,,,,,
Attention,3134991.0,"Eniac Ventures, Liquid 2 Ventures, MGV, Ride Ventures, Frst",,https://www.attention.tech/,,Chatbot/Conversational AI,Voice assistant for sales,,,,,,2021,"New York, NY",,,,,,,
AudioLabs,360000.0,,,https://www.audiolabs.io,,Video,Podcast to shortform clips,,,,,,2021,Israel,,,,,,,
Aug X Labs,1000000.0,"Crosscut Ventures, Untapped Capital, Tribe AI, Ben Parr, Avner Ronen",,https://www.augxlabs.com/,,Video,Multi-user video dev tool,,,,,,2022,"New York, NY",,,,,,,
Augmenta,0.0,"Ferguson Ventures,Hazelview Ventures,Whiteshell Group",26.0,www.augmenta.ai,"* Automated building design
- Design sustainable, code complaint, fully constructible buildings in hours",Vertical,,Applications (Vertical),General / Multi-Modal,Asset Generation,Construction & Architecture,Yes,,,,,,,,,
Augoor,0.0,No Data,,www.augoor.com,"* Smarten up your software development
- We make code more accessible by helping people comprehend and automatically document codebases from multiple repositories, fast and simple. Developers, managers, teams, and companies benefit from Augoor.",Documentation Writing,,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AutoBound,1900000000000.0,"Adrian Kunzle,AJ Forsythe,Brett DeBari,Chris Moreno,Douglas Murphy,Evan Wright,Founder Institute,Kane Lightowler,Luke Murphy,Nick Talarico,Pavel Asanov,Richard Socher,Robert Henderson,Sam Gutmann,Simon Chan,Tam Pham,USC Marshall School of Business",22.0,www.autobound.ai,"* Rise above the noise. By analyzing millions of data points on your target buyers, Autobound suggests personalized emails to send the right prospect, at the right time.",Sales Tools,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
AutoEnhance.ai,,,,https://www.autoenhance.ai/,,Image,Photo enhancement,,,,,,2021,"London, UK",,,,,,,
Automata,200000000000.0,,5.0,www.byautomata.io,* We help marketers repurpose and reformat marketing content using AI,Content Repurposing,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
AutoRegex,0.0,No Data,,www.autoregex.xyz,"* Effortless conversions from English <> Regex
- Regex is difficult to write and comprehend to the average human. This website uses artificial intelligence to automate this task by translating back and forth between English and RegEx","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Avatar AI,,,,https://avatarai.me/,,Avatars,Photorealistic AI avatars,,,,,,2023,Unknown,,,,,,,
Avaturn,40000.0,"Alchemist Accelerator, Chang Corporation, Wayne Chang, XTX Ventures, Jeff Seibert",,https://avaturn.me/,,Avatars,Personal 3D avatars,,,,,,2019,Israel,,,,,,,
Axiom AI,330000.0,"Techstars, Y Combinator, AltaIR Capital, 7percent Ventures, Silicon Roundabout Ventures",,https://axiom.ai/,,Code,Browser automation,,,,,,2018,Europe,,,,,,,
B/BLOQS,,,,https://www.bbloqs.ai,,Text,AI marketing platform,,,,,,2021,Other US,,,,,,,
Balto,51850000.0,"Cultivation Capital, Sierra Ventures, Arch Grants, SaaS Ventures, Jump Capital",,https://www.balto.ai/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,2017,Other US,,,,,,,
Banana,1820000.0,Alumni Ventures,,https://www.banana.dev/,,MLOps/Platform,Model deployment,,,,,,2021,SF Bay Area,,,,,,,
Banana.dev,1800000000000.0,"Alumni Ventures,Basecamp Fund,CapitalX,Founders,inc,Pioneer.app",14.0,www.banana.dev,"* Ship ML to Prod, instantly. ⚡
- Scaleable inference hosting for your machine learning models on serverless GPUs.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Basch,,,,https://www.basch.io/,,Video,Text to Video,,,,,,2021,APAC,,,,,,,
Beatoven.ai,1055000.0,"Entrepreneur First, Redstart Labs",,https://www.beatoven.ai/,,Audio,Background music generation,,,,,,2021,APAC,,,,,,,
Beautiful.ai,16000000.0,"Shasta Ventures, Trinity Ventures, First Round Capital",,https://www.beautiful.ai/,,Image,Deck Design,,,,,,2015,SF Bay Area,,,,,,,
Beewriter,,,,https://www.beewriter.com/,,Text,Writing/Editing,,,,,,2020,"Seattle, WA",,,,,,,
Berserq,1000000.0,,,https://www.berserq.io,,Image,Marketing image generation,,,,,,2021,APAC,,,,,,,
Bertha.ai,,,,https://bertha.ai/,,Text,Marketing / Copywriting,,,,,,2021,Other US,,,,,,,
Betterdata,2420000.0,"Entrepreneur First, Tenity, Investible, Plug and Play, Franklin Templeton Investments",,https://www.betterdata.ai/,,Data,Synthetic Data,,,,,,2021,APAC,,,,,,,
BeyondWords,195645.0,"Innovate UK, Newark Venture Partners, Meyvn",,https://beyondwords.io/,,Audio,Text to speech & speech to text,,,,,,2016,"London, UK",,,,,,,
Blackbox,,,,https://www.useblackbox.io/,,Code,Code Completion / Search,,,,,,2019,SF Bay Area,,,,,,,
Blend,,,,https://www.blendnow.com/,,Image,Photo to Ad,,,,,,2021,APAC,,,,,,,
BLOOM,7000000.0,publicly funded through grants,,https://bigscience.notion.site/BLOOM-BigScience-176B-Model-ad073ca07cdf479398d5f95d88e218c4,,MLOps/Platform,Open-source text generation model,,,,,,2022,Europe,,,,,,,
Bloop,125000.0,"Y Combinator, Matilde Giglio",,https://bloop.ai/,,Code,Code generation & documentation,,,,,,2021,"London, UK",,,,,,,
Boltzbit,2087089.0,"Speedinvest, IQ Capital",,https://boltzbit.com/,,MLOps/Platform,Generative AI Platform,,,,,,2020,"London, UK",,,,,,,
Boomy,4451016.0,"Warner Music Group, Boost VC, Future Labs, Scrum Ventures, First Check Ventures",24.0,https://boomy.com/,"* Make instant music, share it with the world.
- Create original songs in seconds, even if you've never made music before. Get paid for every listen on platforms like Spotify, TikTok, YouTube, and 40+ others worldwide",Audio,Song generation,Applications (Horizontal),Audio,Music Generation,General,Yes,2018,SF Bay Area,,,,,,,
Botco.ai,2200000.0,"Alchemist Accelerator, VamosVentures, Stout Street Capital, Desert Angels, Arizona Tech Investors",,https://botco.ai,,Chatbot/Conversational AI,Generate AI chatbots,,,,,,2017,Other US,,,,,,,
Botika,1500000.0,"Operator Partners, Homeward Ventures, Matias Ventures",,https://botika.io/,,Image,Image Generation,,,,,,2020,Israel,,,,,,,
Brain.ai,51500000000000.0,InspireXT,27.0,www.brain.ai,"* We've had our smartphones for the last 14 years. On July 28, 2021, Brain is reimagining the way we interact with our phones.
- Introducing Natural - the first generative interface that allows software to be in sync with your intention. You no longer go to apps, apps come to you. Simply say what you need and the right app forms itself around your words.",Natural Language Frontends,,Applications (Horizontal),Code,Natural Language Frontend,General,Yes,,,,,,,,,
BrandMuscle,6500000.0,Alta Communications,,https://www.brandmuscle.com/,,Text,Marketing Automation and Compliance for Local businesses,,,,,,2000,Other US,,,,,,,
Bria,10000000.0,"Intel Ignite, Getty Images, Entrée Capital, IN Venture",,https://bria.ai/,,Image,"Find, create, and edit visual content",,,,,,2020,Israel,,,,,,,
"Bria
",0.0,Entree Capital,43.0,https://bria.ai/,"* Supercharge Design Productivity
- Instantly create and customize limitless visuals at scale
through generative AI for businesses","AI Editing for Video, Photos, and Audio",,AI Development & Tools,Image,Image Generation,General,Yes,,,,,,,,,
Broadn,,,,https://www.broadn.io/,,Text,Generative learning,,,,,,2022,"London, UK",,,,,,,
Broca,100000.0,"Forum Ventures, Right Side Capital Management",,https://www.usebroca.com/,,Text,Content creation,,,,,,2020,North America (excl. US),,,,,,,
BuildAI,,,,https://www.buildai.space/,,Text,Build AI interfaces,,,,,,2023,Unknown,,,,,,,
Cala,3000000.0,"Real Ventures, Maersk Growth, Ding Ventures",,https://ca.la/,,Image,AI Design,,,,,,2016,"New York, NY",,,,,,,
Call Connect,,,,https://callconnect.ai/,,Chatbot/Conversational AI,AI sales rep who makes and receives phone calls,,,,,,2023,Other US,,,,,,,
Canny AI,100000000000.0,Xcelerator,4.0,www.cannyai.com,"* Speak like a native
- Transform your videos to any language, with any dialogue",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Capacities,,,,https://capacities.io/,,Classification,Note taking / data organization,,,,,,2022,Europe,,,,,,,
Casetext,64344579.0,"Y Combinator, 8VC, Union Square Ventures, Susa Ventures, SVA",67.0,http://casetext.com,* AI for Lawyers,Legal,Legal case generation,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,2013,SF Bay Area,,,,,,,
Cass,4600000.0,PivotNorth Capital,,https://www.cass.ai/,,Chatbot/Conversational AI,Automated Virtual Agents (Healthcare),,,,,,2014,SF Bay Area,,,,,,,
Cerebrate AI,1000000.0,Yakov Livshits,,https://cerebrate.ai/beta/,,MLOps/Platform,AI as a service platform,,,,,,2021,Israel,,,,,,,
Certainly,5058801.0,"Seed Capital, VF Venture, Esben Gadsbøll, Thomas Black Petersen",,https://certainly.io/,,Chatbot/Conversational AI,E-Commerce Customer Support,,,,,,2016,Europe,,,,,,,
Chai.ml,0.0,No Data,,https://chai.ml/,"* Chat with AI
- Build and deploy an AI chatbot to thousands of users.",Chatbots & Avatars,,AI Development & Tools,Text,Model Development & Tools,General,Yes,,,,,,,,,
Character.ai,0.0,No Data,,https://beta.character.ai/,* Create and converse with user-generated chatbots,Chatbots & Avatars,,Applications (Horizontal),Text,Chat / Conversational,General,,,,,,,,,,
Character.AI,150000000.0,"Andreessen Horowitz, Elad Gil, SVA, A.Capital Ventures, Nat Friedman",,https://character.ai,,Avatars,AI Characters/Avatars,,,,,,2021,SF Bay Area,,,,,,,
Charisma.ai,700000000000.0,,12.0,charisma.ai,"* Powering truly intelligent NPCs in games, virtual learning and metaverses using AI. Talk to the characters and they talk back!",Natural Language Frontends,,Applications (Horizontal),Video,Avatars & Dubbing,General,Yes,,,,,,,,,
ChibiAI,,,,https://chibi.ai/,,Text,Text generation (AI Writer),,,,,,2021,Other US,,,,,,,
Chooch AI,25900000.0,"Alumni Ventures, AngelList Talent, Sand Hill Angels, Sean Bill, 212",,https://www.chooch.com/,,MLOps/Platform,Computer vision platform,,,,,,2015,SF Bay Area,,,,,,,
Circle Labs,4200000.0,"Techstars, Lightspeed Venture Partners, Daniel Gross, Haystack, Scott Belsky",,https://circlelabs.xyz/,,Chatbot/Conversational AI,AI NPC platform,,,,,,2021,SF Bay Area,,,,,,,
Clawdia,4000000.0,Google for Startups,,https://www.clawdia.ai/,,Legal,Automated Legal Solutions,,,,,,2021,"Los Angeles, CA",,,,,,,
Clickable,,"Evening Fund, Musha Ventures, Y Combinator, Zentani Capital",,https://www.clickable.so/,* AI generated ads,Text,Ad Creation,Applications (Horizontal),Image,Ad Design,General,Yes,2022,Europe,,,,,,,
ClipDrop,1500000000000.0,"Air Street Capital,Carl Riviera,Edward Miller,Ian Hogarth,Kaj Dobrin,Kima Ventures,Maria Raga,Matt Robinson,Namrata Ganatra,Siavash Ghorbani,Soma Capital,Y Combinator",9.0,www.clipdrop.co,"* Create stunning visuals in seconds
- The ultimate ecosystem of apps, plugins & resources for all creators,
powered by artificial intelligence.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Closers Copy,,,,https://www.closerscopy.com/,,Text,Content/Copy creation,,,,,,2020,Europe,,,,,,,
Codacy,29400000.0,"EQT Ventures, Bright Pixel (former Sonae IM), Faber, Isomer Capital, Seedcamp",,https://www.codacy.com/,,Code,Code Quality,,,,,,2012,Europe,,,,,,,
CodePilot.ai,,,,https://codepilot.netlify.app/,,Code,Code Search / Developer Profiles,,,,,,2016,Other US,,,,,,,
Codex,4525000.0,"NFX, Y Combinator, Ludlow Ventures, Four Cities Capital, NFX, Emergence Capital",,https://usecodex.com/,,Code,Code documentation,,,,,,2021,North America (excl. US),,,,,,,
Codiga,2220000.0,"Techstars, LAUNCH, Service Provider Capital, Vishal Rao, 2.12 Angels",15.0,https://www.codiga.io/,"* Developer Productivity Unleashed
- Your personal Coding Assistant and Automated Code Review",Code,Code Quality,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,2019,Other US,,,,,,,
Cogram,0.0,"Pioneer Fund,Y Combinator",5.0,www.cogram.com,"* Effortless meeting notes and action items
‍- Cogram takes automatic notes in virtual meetings and identifies action items, while keeping your data private and secure.",Task Automation & Virtual Assistant,,Applications (Horizontal),Code,RPA Automation,General,Yes,,,,,,,,,
Cohere,170000000000000.0,"Alphabet,Artisanal Ventures,Fei-Fei Li,Geoffrey Hinton,Ian Goodfellow,Index Ventures,Nvidia,Pieter Abbeel,Radical Ventures,Raquel Urtasun,Sanja Fidler,Section 32,Tiger Global Management",114.0,www.cohere.ai,"* Making NLP part of every developer's toolkit
- Harness the power of language understanding. Join the developers and businesses who are using Cohere to generate, categorize and organize text at a scale that was previously unimaginable.",Foundation Model Providers,,AI Development & Tools,Text,Model Development & Tools,General,Yes,,,,,,,,,
Cohere.ai,414946073.0,"NVIDIA, Tiger Global Management, Inovia Capital, Index Ventures, Radical Ventures",,https://cohere.ai/,,MLOps/Platform,NLP Platform,,,,,,2019,North America (excl. US),,,,,,,
Cohere.io,3250000.0,"Y Combinator, Initialized Capital, Soma Capital, Chapter One Ventures, BoxGroup",,https://cohere.io/,,Chatbot/Conversational AI,Customer Support,,,,,,2020,"New York, NY",,,,,,,
Colossyan,6179350.0,"APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures, Emerge Education",17.0,https://www.colossyan.com/,"* Create videos with‍ AI actors, real easy
- No more time-wasting in the studio or money on camera equipment",Video,AI Video Creation,Applications (Horizontal),Video,Avatars,Education,Yes,2020,Other US,,,,,,,
Comet ML,69800000.0,"Techstars, Techstars Ventures, Founders' Co-op, Two Sigma Ventures, Fathom Capital",,https://www.comet.com/site/,,MLOps/Platform,Model deployment / modeling / collaboration,,,,,,2017,"New York, NY",,,,,,,
Compose AI,2100000.0,"Y Combinator, Craft Ventures, Root and Shoot Ventures",4.0,https://www.compose.ai/,"* Write Faster With AI, Save Time
- Compose AI is a free Chrome extension that cuts your writing time by 40% with AI-powered autocompletion",Text,Writing (automated),Applications (Horizontal),Text,General Writing & Editing,General,Yes,2020,SF Bay Area,,,,,,,
Consensus,4200000.0,"Alumni Ventures, Draper Associates, Winklevoss Capital, Brian Pokorny, Nomad Capital",,https://consensus.app/,,Semantic Search,Scientific Search / data organization,,,,,,2021,Other US,,,,,,,
Consizely,,,,https://consizely.com/,,Summarization,Summarization,,,,,,2021,SF Bay Area,,,,,,,
Contenda,,,9.0,https://contenda.co/,"* Create the content your audience wants, from content you've already made
- Contenda contextually identifies your content's key topics and spins it into the right format for your audience to discover.",Text,Marketing content creation,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2021,Other US,,,,,,,
Contentbot.ai,0.0,LianLian Pay,,www.contentbot.ai,"* The Future of Writing is Here
- Use the world's most advanced AI Writer.
- Blog content, paraphrasing, ad copy, and so much more",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
ContentBot.ai,,LianLian Pay,,https://contentbot.ai/,,Text,Marketing content creation,,,,,,2021,"Miami, FL",,,,,,,
Contentelly,,,,https://contentelly.com/,,Summarization,Blog post generation from news,,,,,,2022,Europe,,,,,,,
Contents,8023701.0,"Fabio Cannavale, Synergo Capital, Alberto Chalon, Jacopo Paoletti",,https://www.contents.com/,,MLOps/Platform,Content creation platform,,,,,,2020,Europe,,,,,,,
Contlo,4300000.0,"Titan Capital, Better Capital, Varun Alagh, Kae Capital, Harshil Mathur",,https://contlo.com/,,Text,E-commerce Marketing,,,,,,2021,Other US,,,,,,,
Conto,,,,https://www.conto.ai/,,Text,Content/Copy creation,,,,,,2021,Europe,,,,,,,
Conversion Maker AI,4072333.0,Christian Funk Holding,,https://conversionmaker.ai/,,Text,Text generation,,,,,,2020,Europe,,,,,,,
