Company Name,Category,Description,Capital Raised ($M),Active Investors,Headcount,URL
Boomy,Music,"* Make instant music, share it with the world.
- Create original songs in seconds, even if you've never made music before. Get paid for every listen on platforms like Spotify, TikTok, YouTube, and 40+ others worldwide",$1.4,"Anna Cho,Boost VC,Chicago Early Growth Ventures,First Check Ventures,Future Labs,Intonation Ventures,Jeffrey Eschbach,Scrum Ventures,Sound Media Ventures",24,www.boomy.com
Brain.ai,Natural Language Frontends,"* We've had our smartphones for the last 14 years. On July 28, 2021, Brain is reimagining the way we interact with our phones.
- Introducing Natural - the first generative interface that allows software to be in sync with your intention. You no longer go to apps, apps come to you. Simply say what you need and the right app forms itself around your words.",$51.5,InspireXT,27,www.brain.ai
"Bria
","AI Editing for Video, Photos, and Audio","* Supercharge Design Productivity
- Instantly create and customize limitless visuals at scale
through generative AI for businesses",,Entree Capital,43,https://bria.ai/
Canny AI,Synthetic Voices & Dubbing,"* Speak like a native
- Transform your videos to any language, with any dialogue",$0.1,Xcelerator,4,www.cannyai.com
Casetext,Vertical,* AI for Lawyers,$68.0,"8VC,Charlie Cheever,Crosslink Capital,Kevin Moore,SV Angel,Y Combinator",67,www.casetext.com
Chai.ml,Chatbots & Avatars,"* Chat with AI
- Build and deploy an AI chatbot to thousands of users.",,No Data,,https://chai.ml/
Character.ai,Chatbots & Avatars,* Create and converse with user-generated chatbots,,No Data,,https://beta.character.ai/
Charisma.ai,Natural Language Frontends,"* Powering truly intelligent NPCs in games, virtual learning and metaverses using AI. Talk to the characters and they talk back!",$0.7,,12,charisma.ai
Clickable,Ad Generation & Brand Building,* AI generated ads,,No Data,,https://www.clickable.so/
ClipDrop,"AI Editing for Video, Photos, and Audio","* Create stunning visuals in seconds
- The ultimate ecosystem of apps, plugins & resources for all creators,
powered by artificial intelligence.",$1.5,"Air Street Capital,Carl Riviera,Edward Miller,Ian Hogarth,Kaj Dobrin,Kima Ventures,Maria Raga,Matt Robinson,Namrata Ganatra,Siavash Ghorbani,Soma Capital,Y Combinator",9,www.clipdrop.co
Codiga,"Generation for Code, Terminal, and Querying","* Developer Productivity Unleashed
- Your personal Coding Assistant and Automated Code Review",$2.1,"2.12 Angels,Alex and Bart,Avalancha Ventures,Bart Macdonald,Draper Cygnus,Jeffrey Lunsford,LAUNCH Festival,LAUNCH Fund,Mantej Rajpal,MGV Capital Group,Olivier Pomel,Service Provider Capital,Socialatom Ventures,Techstars,The Syndicate (United States)",15,www.codiga.io
Cogram,Task Automation & Virtual Assistant,"* Effortless meeting notes and action items
‍- Cogram takes automatic notes in virtual meetings and identifies action items, while keeping your data private and secure.",,"Pioneer Fund,Y Combinator",5,www.cogram.com
Cohere,Foundation Model Providers,"* Making NLP part of every developer's toolkit
- Harness the power of language understanding. Join the developers and businesses who are using Cohere to generate, categorize and organize text at a scale that was previously unimaginable.",$170.0,"Alphabet,Artisanal Ventures,Fei-Fei Li,Geoffrey Hinton,Ian Goodfellow,Index Ventures,Nvidia,Pieter Abbeel,Radical Ventures,Raquel Urtasun,Sanja Fidler,Section 32,Tiger Global Management",114,www.cohere.ai
Colossyan,Synthetic Talking Heads,"* Create videos with‍ AI actors, real easy
- No more time-wasting in the studio or money on camera equipment",$1.2,"Akos Kapui,APX (Private Equity),Day One Capital,Mikal Hallstrup,Oktogon Ventures",17,www.colossyan.com
Compose AI,General Purpose Communication Writing,"* Write Faster With AI, Save Time
- Compose AI is a free Chrome extension that cuts your writing time by 40% with AI-powered autocompletion",$2.2,"Craft Ventures,Root and Shoot Ventures,Underdog Labs,Y Combinator",4,www.compose.ai
Contenda,Content Repurposing,"* Create the content your audience wants, from content you've already made
- Contenda contextually identifies your content's key topics and spins it into the right format for your audience to discover.",,"Basis Set Ventures,Cassidy Williams,Contrary Capital,Eliot Horowitz,Jim O'Neill,Rough Draft Ventures,Scribble Ventures",9,www.contenda.co
Contentbot.ai,Generation for Copywriters & SMB Marketers,"* The Future of Writing is Here
- Use the world's most advanced AI Writer.
- Blog content, paraphrasing, ad copy, and so much more",,LianLian Pay,,www.contentbot.ai
Copy.ai,Generation for Copywriters & SMB Marketers,* Say ‘goodbye’ to the blank page for good,$13.9,"Atelier Ventures,Browder Capital,Coppice Capital,Craft Ventures,DayDreams Ventures,Elad Gil,Matthew Caspari,Quint Capital,Sequoia Capital,Tiger Global Management,Unpopular Ventures,Wing Venture Capital",47,www.copy.ai
Copysmith Artificial Intelligence,Generation for Copywriters & SMB Marketers,"* Copysmith is the AI content creation solution for teams
- Create, launch and distribute marketing content at scale",$10.0,"Harmony Venture Labs,Providence Strategic Growth",18,www.copysmith.ai
Craftly.ai,Generation for Copywriters & SMB Marketers,"* Changing the way the worlds writes.
- The AI Copywriting Assistant that generates original, high converting content the way you like it.",,,27,craftly.ai
Creatext,Sales Tools,"* Words that work
- Creatext researches your prospects & suggests hyper-personalized snippets for your outreach.",$0.0,Techstars,2,www.creatext.ai
Dala,Knowledge Bases / Vector Search Apps,* Your workplace has the answer. Ask Dala to find it.,$1.4,"Andrin Bachmann,Ascension (Financial Services),Ascension Ventures,Ben Stephenson,Evening Fund,James Meekings,Jamie Whitcroft,Johnny Boufarhat,Lyuben Belov,Michael Tefula,Patrick Gilday,Roman Schumacher,Seedcamp,Serge Chiaramonte,The Fund,Valia Ventures,William Neale",8,www.dala.ai
Datagen,Training Data,"* Simulate the [exact / high-variance / large-scale] data your AI needs
- Get high-performance data that is key to production-ready algorithms",$68.5,"Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122,www.datagen.tech
Debuild,Build Apps from Text Interface,"* Code your web app in seconds.
- The AI-powered low-code tool that helps you build web apps blazingly fast.",,"Adam D'Angelo,Amjad Masad,Brianne Kimmel,Calvin French-Owen,Charlie Cheever,Expo Capital Management,Garry Tan,James Higa,Jason Warner,Joshua Buckley,Rahul Vohra,Tom Brown,Work Life Ventures",2,www.debuild.app
DeepDub,Synthetic Voices & Dubbing,"* Global Entertainment Experience, Reimagined. 
- Deepdub aims to bridge the language barrier and cultural gap of entertainment experiences through high-quality localization at scale.",$20.0,"Booster Ventures,Daniel Chadash,Danny Grander,Emiliano Calemzuk,Gideon Marks,Insight Partners,Kevin Reilly,Roi Tiger,Stardom Ventures,Swift Ventures",46,www.deepdub.ai
DeepGenX,"Generation for Code, Terminal, and Querying","* Level up your Coding with CodeGenX
- We are thrilled to announce CodeGenX! A Code Generation system powered bya rtificial intelligence!",,No Data,,https://www.deepgenx.com/
Deepset,"MLOps, Infra, & DevTools","* Build Natural Language Interfaces for Your Data
- NLP is at the core of modern enterprise data processing. We provide developers with the right tools to build production-ready NLP systems quickly and efficiently.",$16.1,"Acequia Capital,GV,Harpoon,Harpoon Ventures,Lunar Ventures,STARTPLATZ,System One,System.One",29,www.deepset.ai
Descript,"AI Editing for Video, Photos, and Audio","* All-in-one audio & video editing, as easy as a doc.",$50.0,"Alex Blumberg,Andreessen Horowitz,ASDF Ventures,Bharat Mediratta,Brian Pokorny,Casey Neistat,Devdatta Akhawe,Evan Williams,HubSpot Ventures,Jack Patreon,Jake Shapiro,Jay Simons,Jean-Denis Greze,John Lilly,Justine Ezarik,Lenny Rachitsky,Naval Ravikant,OpenAI,Raghavendra Prabhu,Rahul Vohra,Redpoint Ventures,Shishir Mehrotra,Spark Capital,Tobias Lutke,Todd Goldberg",109,www.descript.com
DhiWise,Figma to Code,"* A programming platform where developers can convert their designs into developer-friendly code for Mobile and web apps
- Automates the application development lifecycle and instantly generates readable, modular and reusable code.",$9.7,"Accel,India Quotient",58,www.dhiwise.com
Draft.,Content Marketplaces,"* Quality content, on demand
- We pair cutting-edge technology with vetted writers to deliver quality content, fast. From blog posts to ad copy (and everything in between), we’ve got you covered.",$0.1,"2.12 Angels,Adapt Ventures,Alex Norman,Cathexis Ventures,ESAS Ventures,FJ Labs,GarageCapital,Global Founders Capital,GTMFund,Khosla Ventures,Maropost Ventures,Millennia Capital,N49P,Pioneer Fund,Soma Capital,VentureSouq,Y Combinator",123,draft.co
DubDub,Synthetic Voices & Dubbing,"* Redefining dubbing: As good as original
- Authentic and Efficient Dubbing solutions in 40+ languages",$1.3,"Accel Atoms,Aprameya Radhakrishna,Deepak Anchala,Force Ventures (India),Forward Slash Capital,Gaurav Kapur,Jaipur Capital,Nishant Mungali,Roshan Abbas,Swati Mohan,Waveform Ventures",,www.dubdub.ai
Durable,Website Builder,"* Launch your business in 30 seconds with AI.
- Instantly build a website and find your first customer in minutes.
- It's the fastest way to launch a business ever.",,"Infinity Ventures(Palo Alto),South Park Commons,Torch Capital",9,www.durable.co
Dust.tt,"MLOps, Infra, & DevTools",* Empower  tinkerers  to leverage  generative models  for the use-cases they care about.,,No Data,,www.dust.tt
Elai.io,Synthetic Voices & Dubbing,"* AI Dubbing with Elai.io
- Translate your existing videos into multiple languages",$0.1,"SID Venture Partners,Startup Wise Guys",12,www.elai.io
Eleven Labs,Synthetic Voices & Dubbing,"* New Frontier in Automatic Dubbing
- Eleven Labs is creating tools to automatically dub your videos and podcasts into other languages, while preserving the distinctive features of the speaker’s voice at a fraction of the cost and time of traditional solutions.",,No Data,,www.elevenlabs.io
EmbodyMe,Synthetic Talking Heads,"* Making the unimaginable, imaginable with AI",$4.3,"Deep30,Deepcore,Incubate Fund,New Energy and Industrial Technology Development Organization,Shigeru Urushihara,SMBC Venture Capital,Techstars",11,embodyme.com
Enterpret,Voice of the Customer Analysis,"* Customer Feedback Intelligence for Product Teams
- All customer feedback categorized automatically combined with advanced analytics capabilities. Ensure no customer pain goes unnoticed.",$4.3,"Badrul Farooqi,Cristina Cordova,Curtis Liu,iSeed (India),Kleiner Perkins,Melisa Tokmak,Paige Costello,Sequoia Capital India,Unusual Ventures,Vinay Hiremath",25,www.enterpret.com
Enzyme,Build Apps from Text Interface,"* Where NoCode meets Web3
- Create, manage and ship web3 apps with ease.",$0.0,Techstars,4,www.enzyme.so
Explosion,"MLOps, Infra, & DevTools","* Explosion builds developer tools for:
- Artificial Intelligence
- Machine Learning
- Natural Language Processing
- Data Annotation",$6.0,SignalFire,35,www.explosion.ai
Facet,"AI Editing for Video, Photos, and Audio","* The image editing workflow, reimagined
- Discover pro grade tools powered by AI. Multiply visual directions, automate masking and selection, and collaborate with your team—all on the web. Welcome to the future of photorealism.",$19.3,"Accel,Basis Set Ventures,DO Venture Partners,Edward Lando,Eric Wittman,Formulate Ventures,Gaingels,Mana Ventures,Octave (San Francisco),Peter Skomoroch,Richard Socher,Silicon Ventures (California),Slow Ventures,SNR,South Park Commons,Spacecadet Ventures,Techammer,Two Sigma Ventures",14,www.facet.ai
Fertmat_WS,Tools for Artists,"* Your work, augmented
- Boost your creative side with intelligent tools on a spatial canvas.",,,,www.batou.xyz
Flawless,Synthetic Voices & Dubbing,"* Neural network enabled filmmaking
- Using artificial intelligence, our world-first system will revolutionise the VFX and motion picture industry by unlocking content through authentic, visual translation to enable stories to be told exactly as they were intended with an immersive experience in the native language of any audience around the world",,JAMCO Capital,27,www.flawlessai.com
Flowrite,General Purpose Communication Writing,* Supercharge your daily communication. Flowrite turns short instructions into ready-to-send emails and messages across your browser.,$5.1,"David Helgason,Ilkka Paananen,Johannes Schildt,Lifeline Ventures,Moaffak Ahmed,Moonfire,Project A,Seedcamp,Sven Ahrens,Ville Vesterinen",18,www.flowrite.com
Forefront,"MLOps, Infra, & DevTools","* Powerful NLP tools a click away
- Join leading teams building the next wave of world-changing applications.
- Use pre-built solutions or large language models to quickly build NLP-enabled products and workflows.",,No Data,,www.forefront.ai
Foster,General Purpose Communication Writing,"* Make Your Writing Shine 💫
- Tap a button inside Google Docs and watch your writing transform.",,Y Combinator,10,www.foster.to
Fridayy,Other Consumer,"* The fastest way to buy anything online.
- Shop with a text message.",,,,www.fridayy.me
Gemsouls,Chatbots & Avatars,"* 👋Meet, befriend, and create virtual characters
- On a mission to bring gem-like virtual humans to life ",$4.0,Qiming Venture Partners,,www.mygemsouls.com
Geniverse,Tools for Artists,"* Type your dream
- Let generative AI augment your creativity. Create impressive artworks straight from your imagination.",,,,geniverse.co
Glean,Knowledge Bases / Vector Search Apps,"* Know what your company knows, instantly.
- Glean searches across all your company's apps to help you find exactly what you need and discover the things you should know.",$156.0,"General Catalyst,Kleiner Perkins,Lightspeed Venture Partners,Sequoia Capital,Slack Fund",200,www.glean.com
Gretel,"MLOps, Infra, & DevTools","* The Developer Stack for Synthetic Data.
- Power AI, Data Science, Testing, Analytics and More.
- Synthetic data that’s as good, or even better than the data you have. Or don’t have. Create and share data with the best-in-class accuracy and privacy guarantees – on demand.",$67.7,"Anthos Capital,Greylock Partners,Jonathan Swanson,Moonshots Capital,Section 32,Village Global",48,www.gretel.ai
Harvey,Vertical,AI for law firms,,"Elad Gil,Jeff Dean,OpenAI,Sarah Guo",,www.harvey.ai
Hebbia.ai,Knowledge Bases / Vector Search Apps,"* Search, reinvented.
- Make decisions 10X more confidently and quickly with AI-powered insights.",$28.1,"Chih-Yuan Yang,Cory Levy,Floodgate Fund,Human Capital,Index Ventures,Kevin Hartz,Michael Fertik,Naval Ravikant,Peter Thiel,Radical Ventures,Ram Shriram",15,www.hebbia.ai
Hello,Search Engine,"* The search engine for instant answers.
- [For developers]",,Y Combinator,2,beta.sayhello.so
Hour One,Synthetic Talking Heads,"* We turn text into video, featuring virtual humans, automatically. 
- Humanize your content at scale. Boost your content creation by converting text into highly engaging videos within minutes.",$26.0,"Amaranthine,Cerca Partners,Digital Horizon,Eynat Guez,Galaxy Interactive (New York),Gemini Capital,Insight Partners,Intel Ignite,Kindred Ventures,Remagine Ventures",29,www.hourone.ai
HuggingFace,"MLOps, Infra, & DevTools","* The AI community building the future.
- Build, train and deploy state of the art models powered by the reference open source in machine learning.",$164.9,"A.Capital Ventures,Addition,AIX Ventures,Alex Wang,Augusto Marietti,Betaworks,Betaworks Ventures,Brandon Reeves,Coatue Management,Damien Gosset,Dev Ittycheria,Edouard Rosenblum,Florian Douetteau,Greg Brockman,Kevin Durant,Lee Fixel,Lux Capital,Matthieu Vaxelaire,Olivier Pomel,Paul St. John,Rich Kleiman,Richard Socher,Ronny Conway,Sequoia Capital,Sequoia Real Estate Partners,SV Angel,Terrence Rohan,The Chernin Group,Thibaud Elziere,Thirtyfive Ventures",163,www.huggingface.co
HumanLoop,"MLOps, Infra, & DevTools","* Make GPT–3 faster, cheaper, more effective
- Find the prompts users love and fine-tune custom models for higher performance at lower cost",$2.9,"AlbionVC,Index Ventures,Phoenix Court,UCL Technology Fund,Y Combinator",6,www.humanloop.com
Inflection,Natural Language Frontends,"Developer of artificial intelligence (AI) platform designed to improve human-computer interaction. The company's platform addresses the problem"" that humans need to simplify the requests they make to computers and adjust the language to fit what machines can understand, enabling clients to have a seamless experience in understanding machine language",$265.0,Greylock Partners,9,www.inflection.ai
Instoried,Generation for Copywriters & SMB Marketers,"* Enhance your content writing experience with instoried.
- Analyze the tones and emotions present in your text. Get recommendations for adding empathy to your content.",$42.9,"9Unicorns,Artesian Capital Management,Axilor Ventures,Dan Lok Ventures,Expert DOJO,Faad Network,IIIT-H Foundation,JITO Angel Network,JPIN,Kia Ora Ventures,Lead Angels,MAVM Angels Network,Orbit Startups,Pritt Investment Partners,Rockstud Capital,SOSV,Start-Up Chile,The CoWrks Foundry,Venture Catalysts (Mumbai),Windrose Capital (Pune)",40,www.instoried.com
InteriorAI,Vertical,* Interior design and virtual staging by AI,,No Data,,www.interiorai.com
Jasper,Generation for Copywriters & SMB Marketers,"* Meet Jasper, The Future of Writing
- Artificial intelligence makes it fast & easy to create content for your blog, social media, website, and more! Rated 5/5 stars in 3,000+ reviews.",$146.7,"Bessemer Venture Partners,Coatue Management,Foundation Capital,Founders Circle Capital,G Ventures (VC),Hack VC,HubSpot Ventures,Insight Partners,IVP,Liquid 2 Ventures,Y Combinator,Z Nation Lab",174,www.jasper.ai
Jina.ai,"MLOps, Infra, & DevTools","* The most advanced MLOps platform for multimodal AI
- Build neural search, creative AI and multimodal data services on the cloud at scale.",$37.2,"Canaan Partners,GGV Capital,Mango Capital (Venture Capital),SAP.iO,Yunqi Partners",,www.jina.ai
K-Explorer ,"Generation for Code, Terminal, and Querying","* Your AI Dev Buddy
- A search code engine and code assist that sharpens developer’s productivity.",,No Data,,
Kaizan,Vertical,"* Scale your clients faster with Kaizan
- Kaizan automates your tasks using conversation intelligence and highlights what will increase client success and revenue.",$1.2,"Charlotte Street Capital,Founders Factory,Jigsaw VC",9,kaizan.ai
Kalendar AI,Sales Tools,Book new revenue on autopilot with AI. Kalendar AI set up meetings with your predictive next customers from 340m+ ideal profiles. ,$3.2,"500 Global,Asymmetry Ventures,Boost VC,Green Meadow Ventures,Metaplanet Holdings,Tim Mayeur",10,www.kalendar.ai
Kite,"Generation for Code, Terminal, and Querying","* Code Faster. Stay in Flow.
- Kite adds AI powered code completions to your code editor, giving developers superpowers.",$27.1,"AAF Management,Andrew Houston,Caffeinated Capital,Chapter One Ventures,East Ventures,Emmett Shear,Hyperplane Venture Capital,Joseph Lonsdale,Joshua Reeves,Kevin Moore,Kyle Vogt,Lee Linden,M12,Manish Lachwani,Matthew Mullenweg,Max Levchin,Nat Friedman,Oyster Ventures,Pillar VC,Seed Group,SV Angel,The Private Office (Dubai),Trinity Ventures,TSVC,Wayne Chang",28,www.kite.com
Lalaland.ai,Product Display,"* No more photoshoots - With digital avatars, apparel companies can showcase and validate 3D garment designs. Visualize ODM end-to-end from the earliest stages of design and development, wholesale selling and merchandising to eCommerce.",$3.1,"ACE Venture Lab,Amhar Ford,ASIF Ventures,Bart Wilde,Christina Caljé,Google for Startups,Orange Wings Capital,Thorsten Koch,Unknown Group,Utrechtinc",12,www.lalaland.ai
Lavender,Sales Tools,"* Lavender helps you get more replies in less time. 
- It's everything you need to personalize faster, write more impactful emails, coach, and improve.",,"Aneil Johal,Asymmetric Capital Partners,Christopher Wheeler,Ganesh Ramakrishnan,Troy Osinoff",7,www.lavender.ai
Lex,General Purpose Communication Writing,* Unlock your best writing,,No Data,,http://Lex.page
Lexata,Search Engine,* Question answering for capital markets laws.,,No Data,,https://lexata.ca/
Locofy,Figma to Code,"* Turn your designs into production-ready frontend <code> for mobile apps and web
- Ship products 3-4x faster with your existing design tools, tech stacks & workflow",$3.0,"Accel,Boldcap,Golden Gate Ventures,January Capital",11,www.locofy.ai
LoopPanel,Voice of the Customer Analysis,"* Actionable User Insights in Minutes
- Smart transcripts. Shareable video clips. Live note-taking. Plug-and-play with Zoom.",$0.9,"First Cheque,Sequoia Capital India,Speciale Invest",7,www.looppanel.com
MagicEducator,Vertical,"* Lesson planning simplified.
- Brainstorm, find curated content and teach your lesson with an all-in-one platform.",,,3,www.magiceducator.com
ManageBetter,HR,"* One employee, one goal, one piece of feedback — in real time. 
- Management made easy. Our products help managers grow productive teams through personalized action plans, relevant career goals, and actionable feedback. ",,No Data,,https://managebetter.com
Mantium,"MLOps, Infra, & DevTools","* Build AI applications in minutes and manage them at scale.
- Use state of the art language models to build AI applications and automations, and manage them in our low-code cloud platform.",$14.5,"Drive Capital,Top Harvest Capital",33,www.mantiumai.com
Marqo,Vector Search,"* Search the way you think.
- An open-source tensor search framework that seamlessly integrates with your applications, websites, and workflows.",,,6,www.marqo.ai
Maya Labs,Build Apps from Text Interface,"* Build custom software in minutes, using natural language.",,"First Cheque,India Quotient,Titan Capital,Y Combinator",8,www.mayalabs.io
Mem.ai,Knowledge Bases / Vector Search Apps,* Your team’s notes and knowledge — intelligently organized using artificial intelligence,$5.6,"Andreessen Horowitz,Awesome People Ventures,Charlie Songhurst,Dreamers VC,Floodgate Fund,Greg Chang,Harry Stebbings,Julia Lipton,Kevin Hartz,Lenny Rachitsky,Material V,Shrug Capital,The Todd & Rahul Angel Fund,Tony Liu,Unusual Ventures",12,get.mem.ai
Metaphor,Search Engine,"* Web search hasn't changed in 20 years. We're building a new search engine from scratch, using the same ideas behind DALL-E and Stable Diffusion. 
- It understands language — in the form of prompts — so you can say what you're looking for in all the expressive and creative ways you can think of. And, if we're lucky, it might make the internet feel a little less like a wall of ads.",$0.1,"Atypical Ventures,Helium-3 Ventures,Lombardstreet Ventures,Pi Campus,Pioneer Fund,Y Combinator",3,metaphor.so
Midjourney,Foundation Model Providers,"* Midjourney is an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.
- We are a small self-funded team focused on design, human infrastructure, and AI. We have 11 full-time staff and an incredible set of advisors.",,,14,www.midjourney.com
Mintlify,Documentation Writing,"* Backend for World Class Documentation
- Stop wrestling with outdated documentation. Integrate documentation into your workflow to move faster as you scale",$2.8,"Bain Capital Ventures,Quinn Slack,Twenty Two Ventures,Y Combinator",3,www.mintlify.com
MirageML,Design Tools,"* Generate 3D Design, Fast
- Simply use text to describe what you want and Mirage’s AI powered platform  generates 3D meshes and textures.",,No Data,,www.mirageml.com
ModelMe,Product Display,* Photo shootings in your backyard,,Entrepreneur First,5,www.modelme.tech
