Company Name,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,
Amadeus Code,"$1,825,534",World Innovation Lab (WiL),,https://amadeuscode.com/app/en,,Audio,Song generation,,,,,,,APAC,,,,,,,
AMAI,$0 ,"Crosesell,Joint Journey Intelligent Investments,NRG Ventures,Sergey Dashkov",8,www.amai.io,"* AI Voices That Sound Like Humans but Scale Like Software
- Use realistic speech synthesis and save 30% or even more on any voice content production",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Amazing Photos,,,,https://amazing.photos/,,Image,Image Generation,,,,,,,Unknown,,,,,,,
Amazon CodeWhisperer,"$8,108,000,000","DBS Bank, AOL, Mizuho Bank, Kleiner Perkins",,https://aws.amazon.com/codewhisperer/,,Code,Code Completion / Documentation,,,,,,,"Seattle, WA",,,,,,,
Amberscript,"$9,995,401","Endeit Capital, VentureBuilders Capital",,https://www.amberscript.com/en/,,Audio,Transcription and subtitles,,,,,,,Europe,,,,,,,
Amper,"$9,000,000",Insight Partners,,https://www.ampermusic.com/,,Audio,Song generation,,,,,,,"New York, NY",,,,,,,
Andi,"$3,000,000 ","Acacia Ventures Partners,BBQ Capital,Fepo Capital,Gaingels,Goodwater Capital,K20 Fund,Y Combinator",8,www.andisearch.com,"* Hello! I'm Andi, your smart search assistant. The more detailed your question, the better I can help ",Other Consumer,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Andi,"$2,500,000","Gaingels, Y Combinator, Goodwater Capital, BBQ Capital, Acacia Venture Capital Partners",,https://andisearch.com/,,Semantic Search,Smart Search Assistant,,,,,,,"New York, NY",,,,,,,
Anima,"$12,600,000 ","Hetz Ventures,INcapital Ventures,MizMaa Ventures,Y Combinator,Zohar Gilon",50,www.animaapp.com,"* Design to code, automated
- Powerful, interactive prototypes
- Seamless handoff
- Developer friendly code",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
Anthropic,"$1,454,000,000","Google, Menlo Ventures, Salesforce Ventures, Sound Ventures, Spark Capital",,https://www.anthropic.com/,,Text,Text Generation,,,,,,,SF Bay Area,,,,,,,
Anyscale,"$259,000,000","Andreessen Horowitz, Ant Group, Intel Capital, New Enterprise Associates, The House Fund",,https://www.anyscale.com/,,MLOps/Platform,Platform / application scaling,,,,,,,SF Bay Area,,,,,,,
Anyword,"$32,400,000 ","Amir Orad,Benjamin Narasin,Dror Berman,Gandyr Investments,Geoff Isenman,Howard Lerman,Innovation Endeavors,Lead Capital Partners,Marker,Michael Ronen,Nir Eyal,Omri Kaplan,Oren Abekasis,Sherpalo Ventures,The New York Times,Tomer Cohen,UpWest,Yossi Matias",198,www.anyword.com,"* Copywriting AI with predictable results
- Get more conversions and drive more sales with an AI writer that generates and optimizes your copy. Powerful predictive analytics tells you what works before you publish.",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Anyword,"$30,100,000","The New York Times, Innovation Endeavors, UpWest, Marker, Matias Ventures",,https://anyword.com/,,Text,Marketing / Copywriting,,,,,,,"New York, NY",,,,,,,
Aporia,"$30,000,000","Tiger Global Management, Samsung NEXT, Vertex Ventures, TLV Partners, Tal Ventures",,https://www.aporia.com/,,MLOps/Platform,Model monitoring,,,,,,,Israel,,,,,,,
Aqemia,"$30,520,688","Bpifrance, Eurazeo, Elaia",,aqemia.com,,Bio,molecule generation,,,,,,,Europe,,,,,,,
Aragon,,,,https://www.aragon.ai/,,Image,Design,,,,,,,SF Bay Area,,,,,,,
Archistar,"$21,960,799","AirTree Ventures, NAB Ventures, Skip Capital, Skyfield Capital",,http://archistar.ai,,MLOps/Platform,Land Acquisition,,,,,,,Australia,,,,,,,
ArtBreeder,,,,https://www.artbreeder.com/,,Image,Art generation,,,,,,,"New York, NY",,,,,,,
Article Forge,,,,https://www.articleforge.com/,,Text,Content creation,,,,,,,Other US,,,,,,,
ASAPP,"$380,000,000","Dragoneer Investment Group, Telstra Ventures, Bienville Capital, Emergence, HOF Capital",,https://www.asapp.com/,,Chatbot/Conversational AI,Contact Center,,,,,,,"New York, NY",,,,,,,
AskAI,"$2,600,000 ","Aviv Growth Partners,Barak Goldstein,Efi Cohen,Geffen Capital,GTMFund,GuideStar,Interplay (B2B),Ran Sarig,Simon Chan,State Of Mind Ventures,Vertex Ventures Israel,Web Summit,Yakir Daniel",14,www.ask-ai.com,"* The one sentence answer you need
- ASK aggregates text-heavy company knowledge & customer communications to reveal pinpointed answers and actionable insights.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
AskCodi,$0 ,No Data,,www.askcodi.com,"* Write [CODE] Faster. Easier. Better.
- AskCodi is made keeping in mind the needs of developers to avoid redundant tasks, therefore resulting in less time spent on development and more time to execute.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AskEdith,"$500,000","Abstraction Capital, Boost VC",,https://www.askedith.ai/,,Code,Data queries / SQL,,,,,,,SF Bay Area,,,,,,,
Aspect,,,,https://aspect-hq.com/,,Summarization,Interview analysis,,,,,,,Europe,,,,,,,
Assembly AI,"$63,120,000","Y Combinator, Accel, Insight Partners, Daniel Gross, Nat Friedman",,https://www.assemblyai.com/,,Audio,Speech to Text,,,,,,,SF Bay Area,,,,,,,
Astrid,"$5,300,000",,,https://www.astrideducation.com/,,Chatbot/Conversational AI,Personalized English tutoring,,,,,,,Europe,,,,,,,
Atomic AI,"$42,000,000","8VC, AME Cloud Ventures, Greylock, Playground Global, Nat Friedman",,https://atomic.ai/,,Bio,AI-driven RNA drug discovery,,,,,,,SF Bay Area,,,,,,,
Attention,"$3,134,991","Eniac Ventures, Liquid 2 Ventures, MGV, Ride Ventures, Frst",,https://www.attention.tech/,,Chatbot/Conversational AI,Voice assistant for sales,,,,,,,"New York, NY",,,,,,,
AudioLabs,"$360,000",,,https://www.audiolabs.io,,Video,Podcast to shortform clips,,,,,,,Israel,,,,,,,
Aug X Labs,"$1,000,000","Crosscut Ventures, Untapped Capital, Tribe AI, Ben Parr, Avner Ronen",,https://www.augxlabs.com/,,Video,Multi-user video dev tool,,,,,,,"New York, NY",,,,,,,
Augmenta,$0 ,"Ferguson Ventures,Hazelview Ventures,Whiteshell Group",26,www.augmenta.ai,"* Automated building design
- Design sustainable, code complaint, fully constructible buildings in hours",Vertical,,Applications (Vertical),General / Multi-Modal,Asset Generation,Construction & Architecture,Yes,,,,,,,,,
Augoor,$0 ,No Data,,www.augoor.com,"* Smarten up your software development
- We make code more accessible by helping people comprehend and automatically document codebases from multiple repositories, fast and simple. Developers, managers, teams, and companies benefit from Augoor.",Documentation Writing,,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
AutoBound,"$1,900,000 ","Adrian Kunzle,AJ Forsythe,Brett DeBari,Chris Moreno,Douglas Murphy,Evan Wright,Founder Institute,Kane Lightowler,Luke Murphy,Nick Talarico,Pavel Asanov,Richard Socher,Robert Henderson,Sam Gutmann,Simon Chan,Tam Pham,USC Marshall School of Business",22,www.autobound.ai,"* Rise above the noise. By analyzing millions of data points on your target buyers, Autobound suggests personalized emails to send the right prospect, at the right time.",Sales Tools,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
AutoEnhance.ai,,,,https://www.autoenhance.ai/,,Image,Photo enhancement,,,,,,,"London, UK",,,,,,,
Automata,"$200,000 ",,5,www.byautomata.io,* We help marketers repurpose and reformat marketing content using AI,Content Repurposing,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
AutoRegex,$0 ,No Data,,www.autoregex.xyz,"* Effortless conversions from English <> Regex
- Regex is difficult to write and comprehend to the average human. This website uses artificial intelligence to automate this task by translating back and forth between English and RegEx","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Avatar AI,,,,https://avatarai.me/,,Avatars,Photorealistic AI avatars,,,,,,,Unknown,,,,,,,
Avaturn,"$40,000","Alchemist Accelerator, Chang Corporation, Wayne Chang, XTX Ventures, Jeff Seibert",,https://avaturn.me/,,Avatars,Personal 3D avatars,,,,,,,Israel,,,,,,,
Axiom AI,"$330,000","Techstars, Y Combinator, AltaIR Capital, 7percent Ventures, Silicon Roundabout Ventures",,https://axiom.ai/,,Code,Browser automation,,,,,,,Europe,,,,,,,
B/BLOQS,,,,https://www.bbloqs.ai,,Text,AI marketing platform,,,,,,,Other US,,,,,,,
Balto,"$51,850,000","Cultivation Capital, Sierra Ventures, Arch Grants, SaaS Ventures, Jump Capital",,https://www.balto.ai/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,Other US,,,,,,,
Banana,"$1,820,000",Alumni Ventures,,https://www.banana.dev/,,MLOps/Platform,Model deployment,,,,,,,SF Bay Area,,,,,,,
Banana.dev,"$1,800,000 ","Alumni Ventures,Basecamp Fund,CapitalX,Founders,inc,Pioneer.app",14,www.banana.dev,"* Ship ML to Prod, instantly. ⚡
- Scaleable inference hosting for your machine learning models on serverless GPUs.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Basch,,,,https://www.basch.io/,,Video,Text to Video,,,,,,,APAC,,,,,,,
Beatoven.ai,"$1,055,000","Entrepreneur First, Redstart Labs",,https://www.beatoven.ai/,,Audio,Background music generation,,,,,,,APAC,,,,,,,
Beautiful.ai,"$16,000,000","Shasta Ventures, Trinity Ventures, First Round Capital",,https://www.beautiful.ai/,,Image,Deck Design,,,,,,,SF Bay Area,,,,,,,
Beewriter,,,,https://www.beewriter.com/,,Text,Writing/Editing,,,,,,,"Seattle, WA",,,,,,,
Berserq,"$1,000,000",,,https://www.berserq.io,,Image,Marketing image generation,,,,,,,APAC,,,,,,,
Bertha.ai,,,,https://bertha.ai/,,Text,Marketing / Copywriting,,,,,,,Other US,,,,,,,
Betterdata,"$2,420,000","Entrepreneur First, Tenity, Investible, Plug and Play, Franklin Templeton Investments",,https://www.betterdata.ai/,,Data,Synthetic Data,,,,,,,APAC,,,,,,,
BeyondWords,"$195,645","Innovate UK, Newark Venture Partners, Meyvn",,https://beyondwords.io/,,Audio,Text to speech & speech to text,,,,,,,"London, UK",,,,,,,
Blackbox,,,,https://www.useblackbox.io/,,Code,Code Completion / Search,,,,,,,SF Bay Area,,,,,,,
Blend,,,,https://www.blendnow.com/,,Image,Photo to Ad,,,,,,,APAC,,,,,,,
BLOOM,"$7,000,000",publicly funded through grants,,https://bigscience.notion.site/BLOOM-BigScience-176B-Model-ad073ca07cdf479398d5f95d88e218c4,,MLOps/Platform,Open-source text generation model,,,,,,,Europe,,,,,,,
Bloop,"$125,000","Y Combinator, Matilde Giglio",,https://bloop.ai/,,Code,Code generation & documentation,,,,,,,"London, UK",,,,,,,
Boltzbit,"$2,087,089","Speedinvest, IQ Capital",,https://boltzbit.com/,,MLOps/Platform,Generative AI Platform,,,,,,,"London, UK",,,,,,,
Boomy,"$1,400,000 ","Anna Cho,Boost VC,Chicago Early Growth Ventures,First Check Ventures,Future Labs,Intonation Ventures,Jeffrey Eschbach,Scrum Ventures,Sound Media Ventures",24,www.boomy.com,"* Make instant music, share it with the world.
- Create original songs in seconds, even if you've never made music before. Get paid for every listen on platforms like Spotify, TikTok, YouTube, and 40+ others worldwide",Music,,Applications (Horizontal),Audio,Music Generation,General,Yes,,,,,,,,,
Boomy,"$4,451,016","Warner Music Group, Boost VC, Future Labs, Scrum Ventures, First Check Ventures",,https://boomy.com/,,Audio,Song generation,,,,,,,SF Bay Area,,,,,,,
Botco.ai,"$2,200,000","Alchemist Accelerator, VamosVentures, Stout Street Capital, Desert Angels, Arizona Tech Investors",,https://botco.ai,,Chatbot/Conversational AI,Generate AI chatbots,,,,,,,Other US,,,,,,,
Botika,"$1,500,000","Operator Partners, Homeward Ventures, Matias Ventures",,https://botika.io/,,Image,Image Generation,,,,,,,Israel,,,,,,,
Brain.ai,"$51,500,000 ",InspireXT,27,www.brain.ai,"* We've had our smartphones for the last 14 years. On July 28, 2021, Brain is reimagining the way we interact with our phones.
- Introducing Natural - the first generative interface that allows software to be in sync with your intention. You no longer go to apps, apps come to you. Simply say what you need and the right app forms itself around your words.",Natural Language Frontends,,Applications (Horizontal),Code,Natural Language Frontend,General,Yes,,,,,,,,,
BrandMuscle,"$6,500,000",Alta Communications,,https://www.brandmuscle.com/,,Text,Marketing Automation and Compliance for Local businesses,,,,,,,Other US,,,,,,,
Bria,"$10,000,000","Intel Ignite, Getty Images, Entrée Capital, IN Venture",,https://bria.ai/,,Image,"Find, create, and edit visual content",,,,,,,Israel,,,,,,,
"Bria
",$0 ,Entree Capital,43,https://bria.ai/,"* Supercharge Design Productivity
- Instantly create and customize limitless visuals at scale
through generative AI for businesses","AI Editing for Video, Photos, and Audio",,AI Development & Tools,Image,Image Generation,General,Yes,,,,,,,,,
Broadn,,,,https://www.broadn.io/,,Text,Generative learning,,,,,,,"London, UK",,,,,,,
Broca,"$100,000","Forum Ventures, Right Side Capital Management",,https://www.usebroca.com/,,Text,Content creation,,,,,,,North America (excl. US),,,,,,,
BuildAI,,,,https://www.buildai.space/,,Text,Build AI interfaces,,,,,,,Unknown,,,,,,,
Cala,"$3,000,000","Real Ventures, Maersk Growth, Ding Ventures",,https://ca.la/,,Image,AI Design,,,,,,,"New York, NY",,,,,,,
Call Connect,,,,https://callconnect.ai/,,Chatbot/Conversational AI,AI sales rep who makes and receives phone calls,,,,,,,Other US,,,,,,,
Canny AI,"$100,000 ",Xcelerator,4,www.cannyai.com,"* Speak like a native
- Transform your videos to any language, with any dialogue",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Capacities,,,,https://capacities.io/,,Classification,Note taking / data organization,,,,,,,Europe,,,,,,,
Casetext,"$68,000,000 ","8VC,Charlie Cheever,Crosslink Capital,Kevin Moore,SV Angel,Y Combinator",67,www.casetext.com,* AI for Lawyers,Vertical,,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,,,,,,,,,
Casetext,"$64,344,579","Y Combinator, 8VC, Union Square Ventures, Susa Ventures, SVA",,http://casetext.com,,Legal,Legal case generation,,,,,,,SF Bay Area,,,,,,,
Cass,"$4,600,000",PivotNorth Capital,,https://www.cass.ai/,,Chatbot/Conversational AI,Automated Virtual Agents (Healthcare),,,,,,,SF Bay Area,,,,,,,
Cerebrate AI,"$1,000,000",Yakov Livshits,,https://cerebrate.ai/beta/,,MLOps/Platform,AI as a service platform,,,,,,,Israel,,,,,,,
Certainly,"$5,058,801","Seed Capital, VF Venture, Esben Gadsbøll, Thomas Black Petersen",,https://certainly.io/,,Chatbot/Conversational AI,E-Commerce Customer Support,,,,,,,Europe,,,,,,,
Chai.ml,$0 ,No Data,,https://chai.ml/,"* Chat with AI
- Build and deploy an AI chatbot to thousands of users.",Chatbots & Avatars,,AI Development & Tools,Text,Model Development & Tools,General,Yes,,,,,,,,,
Character.ai,$0 ,No Data,,https://beta.character.ai/,* Create and converse with user-generated chatbots,Chatbots & Avatars,,Applications (Horizontal),Text,Chat / Conversational,General,,,,,,,,,,
Character.AI,"$150,000,000","Andreessen Horowitz, Elad Gil, SVA, A.Capital Ventures, Nat Friedman",,https://character.ai,,Avatars,AI Characters/Avatars,,,,,,,SF Bay Area,,,,,,,
Charisma.ai,"$700,000 ",,12,charisma.ai,"* Powering truly intelligent NPCs in games, virtual learning and metaverses using AI. Talk to the characters and they talk back!",Natural Language Frontends,,Applications (Horizontal),Video,Avatars & Dubbing,General,Yes,,,,,,,,,
ChibiAI,,,,https://chibi.ai/,,Text,Text generation (AI Writer),,,,,,,Other US,,,,,,,
Chooch AI,"$25,900,000","Alumni Ventures, AngelList Talent, Sand Hill Angels, Sean Bill, 212",,https://www.chooch.com/,,MLOps/Platform,Computer vision platform,,,,,,,SF Bay Area,,,,,,,
Circle Labs,"$4,200,000","Techstars, Lightspeed Venture Partners, Daniel Gross, Haystack, Scott Belsky",,https://circlelabs.xyz/,,Chatbot/Conversational AI,AI NPC platform,,,,,,,SF Bay Area,,,,,,,
Clawdia,"$4,000,000",Google for Startups,,https://www.clawdia.ai/,,Legal,Automated Legal Solutions,,,,,,,"Los Angeles, CA",,,,,,,
Clickable,$0 ,No Data,,https://www.clickable.so/,* AI generated ads,Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,Yes,,,,,,,,,
Clickable,,"Evening Fund, Musha Ventures, Y Combinator, Zentani Capital",,https://www.clickable.so/,,Text,Ad Creation,,,,,,,Europe,,,,,,,
ClipDrop,"$1,500,000 ","Air Street Capital,Carl Riviera,Edward Miller,Ian Hogarth,Kaj Dobrin,Kima Ventures,Maria Raga,Matt Robinson,Namrata Ganatra,Siavash Ghorbani,Soma Capital,Y Combinator",9,www.clipdrop.co,"* Create stunning visuals in seconds
- The ultimate ecosystem of apps, plugins & resources for all creators,
powered by artificial intelligence.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Closers Copy,,,,https://www.closerscopy.com/,,Text,Content/Copy creation,,,,,,,Europe,,,,,,,
Codacy,"$29,400,000","EQT Ventures, Bright Pixel (former Sonae IM), Faber, Isomer Capital, Seedcamp",,https://www.codacy.com/,,Code,Code Quality,,,,,,,Europe,,,,,,,
CodePilot.ai,,,,https://codepilot.netlify.app/,,Code,Code Search / Developer Profiles,,,,,,,Other US,,,,,,,
Codex,"$4,525,000","NFX, Y Combinator, Ludlow Ventures, Four Cities Capital, NFX, Emergence Capital",,https://usecodex.com/,,Code,Code documentation,,,,,,,North America (excl. US),,,,,,,
Codiga,"$2,100,000 ","2.12 Angels,Alex and Bart,Avalancha Ventures,Bart Macdonald,Draper Cygnus,Jeffrey Lunsford,LAUNCH Festival,LAUNCH Fund,Mantej Rajpal,MGV Capital Group,Olivier Pomel,Service Provider Capital,Socialatom Ventures,Techstars,The Syndicate (United States)",15,www.codiga.io,"* Developer Productivity Unleashed
- Your personal Coding Assistant and Automated Code Review","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Codiga,"$2,220,000","Techstars, LAUNCH, Service Provider Capital, Vishal Rao, 2.12 Angels",,https://www.codiga.io/,,Code,Code Quality,,,,,,,Other US,,,,,,,
Cogram,$0 ,"Pioneer Fund,Y Combinator",5,www.cogram.com,"* Effortless meeting notes and action items
‍- Cogram takes automatic notes in virtual meetings and identifies action items, while keeping your data private and secure.",Task Automation & Virtual Assistant,,Applications (Horizontal),Code,RPA Automation,General,Yes,,,,,,,,,
Cohere,"$170,000,000 ","Alphabet,Artisanal Ventures,Fei-Fei Li,Geoffrey Hinton,Ian Goodfellow,Index Ventures,Nvidia,Pieter Abbeel,Radical Ventures,Raquel Urtasun,Sanja Fidler,Section 32,Tiger Global Management",114,www.cohere.ai,"* Making NLP part of every developer's toolkit
- Harness the power of language understanding. Join the developers and businesses who are using Cohere to generate, categorize and organize text at a scale that was previously unimaginable.",Foundation Model Providers,,AI Development & Tools,Text,Model Development & Tools,General,Yes,,,,,,,,,
Cohere.ai,"$414,946,073","NVIDIA, Tiger Global Management, Inovia Capital, Index Ventures, Radical Ventures",,https://cohere.ai/,,MLOps/Platform,NLP Platform,,,,,,,North America (excl. US),,,,,,,
Cohere.io,"$3,250,000","Y Combinator, Initialized Capital, Soma Capital, Chapter One Ventures, BoxGroup",,https://cohere.io/,,Chatbot/Conversational AI,Customer Support,,,,,,,"New York, NY",,,,,,,
Colossyan,"$1,200,000 ","Akos Kapui,APX (Private Equity),Day One Capital,Mikal Hallstrup,Oktogon Ventures",17,www.colossyan.com,"* Create videos with‍ AI actors, real easy
- No more time-wasting in the studio or money on camera equipment",Synthetic Talking Heads,,Applications (Horizontal),Video,Avatars,Education,Yes,,,,,,,,,
Colossyan,"$6,179,350","APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures, Emerge Education",,https://www.colossyan.com/,,Video,AI Video Creation,,,,,,,Other US,,,,,,,
Comet ML,"$69,800,000","Techstars, Techstars Ventures, Founders' Co-op, Two Sigma Ventures, Fathom Capital",,https://www.comet.com/site/,,MLOps/Platform,Model deployment / modeling / collaboration,,,,,,,"New York, NY",,,,,,,
